state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Missouri,72452,267019,P O BOX 788,1997-04-01,YES,YES,YES,YES,1967-04-01,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,72952,267025,PO BOX 12,1998-02-21,YES,YES,YES,YES,1968-02-21,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,73652,267035,800 SOUTH ASH,1998-09-12,YES,YES,YES,YES,1968-09-12,Same As Expected,3.0 - 4.0,Government - Local
Missouri,73552,267036,605 EAST PROMENADE SUITE B,1998-10-14,YES,YES,YES,YES,1968-10-14,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,71977,267037,1 HEALTH CARE PLACE,1999-02-16,YES,YES,YES,YES,1969-02-16,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,72552,267032,101 FURR STREET,1999-09-10,YES,YES,YES,YES,1969-09-10,Better Than Expected,4.5 - 5.0,Non - Profit Private
Missouri,72927,267049,1717 SOUTH RANGELINE RD,2003-04-13,YES,YES,YES,YES,1973-04-13,Same As Expected,3.0 - 4.0,Non - Profit Religious
Missouri,72277,267047,601 BUSINESS LOOP 70 WEST SUITE 260,2003-10-01,YES,YES,NO,YES,1973-10-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Missouri,73202,267050,PO BOX 768,2003-11-01,YES,YES,YES,YES,1973-11-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Missouri,73802,267051,310 NORTH MARKET STREET,2004-01-15,YES,YES,NO,YES,1974-01-15,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,74652,267053,1570 WEST BATTLEFIELD SUITE 110,2004-03-18,YES,YES,YES,YES,1974-03-18,Same As Expected,3.0 - 4.0,Non - Profit Religious
Missouri,73377,267056,1001 NW CHIPMAN ROAD,2004-12-01,YES,YES,YES,YES,1974-12-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,72327,267057,101 12TH STREET,2005-01-15,YES,YES,YES,YES,1975-01-15,Same As Expected,3.0 - 4.0,Government - Local
Missouri,74852,267058,723 PCA ROAD,2005-04-01,YES,YES,YES,YES,1975-04-01,Same As Expected,3.0 - 4.0,Government - Local
Missouri,74802,267062,P O BOX 308,2005-09-15,YES,YES,YES,YES,1975-09-15,Same As Expected,3.0 - 4.0,Non - Profit Private
Missouri,74077,267064,137 NORTH BELT HIGHWAY,2007-12-12,YES,YES,YES,YES,1977-12-12,Better Than Expected,4.5 - 5.0,Non - Profit Other
Missouri,72427,267067,1401 SOUTH PARK STREET,2008-05-01,YES,YES,YES,YES,1978-05-01,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,73502,267065,2332 S MAIN STREET,2008-07-01,YES,YES,YES,YES,1978-07-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Missouri,72427,267068,1780 EAST HIGHWAY 54,2008-07-01,YES,YES,NO,YES,1978-07-01,Same As Expected,3.0 - 4.0,Proprietary
Missouri,73477,267069,2305 SOUTH HIGHWAY 65  - PO BOX 250,2008-11-15,YES,YES,YES,YES,1978-11-15,Worse Than Expected,1.0 - 2.5,Non - Profit Private
Missouri,73527,267070,214 W MADISON,2008-12-31,YES,YES,YES,YES,1978-12-31,Same As Expected,3.0 - 4.0,Government - Local
Missouri,74827,267078,PO BOX 70,2001-02-25,YES,YES,NO,YES,1981-02-25,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,74677,267087,3660 S NATIONAL PO BOX 10939,2001-07-16,YES,YES,YES,YES,1981-07-16,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,73577,267086,423 E LOGAN,2001-07-23,YES,YES,YES,YES,1981-07-23,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,73427,267091,2525 GLENN HENDREN,2001-12-03,YES,YES,YES,YES,1981-12-03,Same As Expected,3.0 - 4.0,Government - Local
Missouri,73602,267093,400 NORTH SALISBURY,2002-01-05,YES,YES,YES,YES,1982-01-05,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,73577,267097,102 WEST REED STREET,2002-02-08,YES,YES,YES,YES,1982-02-08,Same As Expected,3.0 - 4.0,Non - Profit Private
Missouri,73952,267098,1206 HOMELIFE PLAZA,2002-02-16,YES,YES,YES,NO,1982-02-16,Same As Expected,3.0 - 4.0,Proprietary
Missouri,73302,267106,1301 EAST 12TH STREET,2002-06-17,YES,YES,YES,YES,1982-06-17,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,72127,267121,#10 DOCTORS PARK,2003-01-06,YES,YES,YES,YES,1983-01-06,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,73627,267127,P O BOX 96,2003-02-01,YES,YES,NO,YES,1983-02-01,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,72402,267125,207 NORTH FIRST STREET,2003-02-02,YES,YES,YES,YES,1983-02-02,Same As Expected,3.0 - 4.0,Government - Local
Missouri,73327,267149,P.O. BOX 387,2003-06-01,YES,YES,NO,YES,1983-06-01,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,72077,267140,1005 WEST 3RD SUITE 3,2003-06-07,YES,YES,NO,YES,1983-06-07,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,73877,267151,2955 KANELL BOULEVARD,2003-08-19,YES,YES,YES,YES,1983-08-19,Same As Expected,3.0 - 4.0,Proprietary
Missouri,73927,267154,916 WOLLARD BLVD,2003-08-30,YES,YES,NO,YES,1983-08-30,Worse Than Expected,1.0 - 2.5,Government - Local
Missouri,72477,267161,1006 N JESSE JAMES RD,2003-10-04,YES,YES,YES,YES,1983-10-04,Same As Expected,3.0 - 4.0,Government - Local
Missouri,72927,267160,3315 MCINTOSH CIRCLE,2003-10-27,YES,YES,NO,YES,1983-10-27,Better Than Expected,4.5 - 5.0,Non - Profit Other
Missouri,72352,267163,1300 N ONE MILE ROAD - SUITE 7,2003-11-22,YES,YES,YES,YES,1983-11-22,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,74702,267168,4305 SOUTH NATIONAL AVENUE,2003-12-28,YES,YES,YES,YES,1983-12-28,Same As Expected,3.0 - 4.0,Proprietary
Missouri,72202,267182,1600 NORTH 2ND STREET,2004-02-23,YES,YES,YES,YES,1984-02-23,Same As Expected,3.0 - 4.0,Government - Local
Missouri,71877,267178,1607 EAST 136 HIGHWAY,2004-02-24,YES,YES,YES,YES,1984-02-24,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,74352,267184,1187 CORPORATE LAKE DRIVE SUITE 200,2004-03-05,YES,YES,YES,YES,1984-03-05,Same As Expected,3.0 - 4.0,Non - Profit Religious
Missouri,71952,267196,1500 NORTH OAKLAND,2004-03-05,YES,YES,YES,YES,1984-03-05,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,72752,267185,507 WEST HWY 17,2004-03-08,YES,YES,YES,YES,1984-03-08,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,74927,267186,114 EAST MAIN STREET,2004-03-09,YES,YES,YES,YES,1984-03-09,Same As Expected,3.0 - 4.0,Proprietary
Missouri,73227,267191,1001 SOUTH JAMISON STREET,2004-04-04,YES,YES,YES,YES,1984-04-04,Same As Expected,3.0 - 4.0,Government - Local
Missouri,73052,267195,3100 BROADWAY  SUITE 1000,2004-05-24,YES,YES,YES,YES,1984-05-24,Better Than Expected,4.5 - 5.0,Non - Profit Religious
Missouri,72152,267206,1413 NORTH JEFFERSON STREET,2004-07-25,YES,YES,YES,YES,1984-07-25,Same As Expected,3.0 - 4.0,Non - Profit Private
Missouri,74527,267216,PO BOX 468,2004-09-20,YES,YES,YES,YES,1984-09-20,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,72577,267217,5 INDUSTRIAL DRIVE,2004-10-04,YES,YES,YES,YES,1984-10-04,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Missouri,72702,267218,P O BOX 470,2004-10-05,YES,YES,YES,YES,1984-10-05,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,72877,267219,1125 MADISON ST,2004-10-19,YES,YES,YES,YES,1984-10-19,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,74877,267223,P O BOX 935,2004-11-30,YES,YES,YES,YES,1984-11-30,Same As Expected,3.0 - 4.0,Government - Local
Missouri,74552,267246,PO BOX 774 HWY 72,2005-06-26,YES,YES,YES,YES,1985-06-26,Worse Than Expected,1.0 - 2.5,Government - Local
Missouri,73827,267247,434 NORTH WEST STREET,2005-07-23,YES,YES,YES,YES,1985-07-23,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,74077,267250,1305A VILLAGE DRIVE,2005-10-10,YES,YES,YES,NO,1985-10-10,Same As Expected,3.0 - 4.0,Proprietary
Missouri,74252,267253,9735 LANDMARK PARKWAY - SUITE 2 NORTH,2005-11-01,YES,YES,YES,YES,1985-11-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Missouri,72377,267258,208  N GRAND AVENUNE,2006-06-26,YES,YES,YES,NO,1986-06-26,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,72627,267263,611 WEST MAIN STREET,2007-04-10,YES,YES,YES,YES,1987-04-10,Same As Expected,3.0 - 4.0,Government - State/ County
Missouri,73102,267264,1500 MEADOW LAKE PARKWAY SUITE 200,2007-08-27,YES,YES,YES,YES,1987-08-27,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,73177,267269,5911 N W BARRY ROAD SUITE 200,2007-12-18,YES,YES,YES,YES,1987-12-18,Worse Than Expected,1.0 - 2.5,Proprietary
Missouri,72727,267270,10675 BUSINESS 21,2008-02-02,YES,YES,YES,YES,1988-02-02,Same As Expected,3.0 - 4.0,Proprietary
Missouri,74152,267276,1935 BELTWAY DRIVE,2008-09-01,YES,YES,YES,YES,1988-09-01,Worse Than Expected,1.0 - 2.5,Non - Profit Other
Missouri,72652,267282,PO BOX 551,2005-02-19,YES,YES,YES,YES,1990-02-19,Same As Expected,3.0 - 4.0,Non - Profit Private
Missouri,72302,267290,12125 WOODCREST EXECUTIVE DRIVE SUITE 340,2006-04-15,YES,YES,YES,YES,1991-04-15,Same As Expected,3.0 - 4.0,Proprietary
Missouri,73227,267296,2412A S. FRANKLIN STREET,2006-12-17,YES,YES,YES,YES,1991-12-17,Same As Expected,3.0 - 4.0,Proprietary
Missouri,74502,267402,115 PIPER HILL DRIVE - SUITE 200,2007-02-20,YES,YES,YES,YES,1992-02-20,Same As Expected,3.0 - 4.0,Proprietary
Missouri,73752,267409,54 HOSPITAL DRIVE,2007-07-22,YES,YES,YES,NO,1992-07-22,Same As Expected,3.0 - 4.0,Non - Profit Private
Missouri,72502,267413,PO BOX 107,2007-10-07,YES,YES,YES,NO,1992-10-07,Same As Expected,3.0 - 4.0,Non - Profit Other
Missouri,74752,267426,10135 MANCHESTER ROAD - SUITE 201,2008-06-02,YES,YES,YES,YES,1993-06-02,Same As Expected,3.0 - 4.0,Proprietary
Missouri,72177,267431,14805 NORTH OUTER 40 ROAD SUITE 320,2008-07-23,YES,YES,YES,YES,1993-07-23,Worse Than Expected,1.0 - 2.5,Proprietary
Missouri,72877,267448,2505 MISSION DRIVE,2009-05-03,YES,YES,YES,NO,1994-05-03,Same As Expected,3.0 - 4.0,Non - Profit Religious
Missouri,72052,267453,11520 ST CHARLES ROCK ROAD  SUITE 115,2009-06-24,YES,YES,NO,YES,1994-06-24,Not Available,,Non - Profit Private
Missouri,74627,267459,1339 EAST REPUBLIC ROAD  SUITE H,2009-07-25,YES,YES,YES,YES,1994-07-25,Same As Expected,3.0 - 4.0,Proprietary
Missouri,73702,267462,2800 CLAY EDWARDS DRIVE,2009-09-14,YES,YES,YES,YES,1994-09-14,Worse Than Expected,1.0 - 2.5,Government - Local
Missouri,74427,267477,10420 OLD OLIVE ROAD SUITE 101,2010-07-27,YES,YES,NO,YES,1995-07-27,Not Available,,Proprietary
Missouri,74577,267499,1226 LINN STREET STE F,2010-10-31,YES,YES,YES,YES,1995-10-31,Same As Expected,3.0 - 4.0,Proprietary
Missouri,74627,267502,1919 E BATTLEFIELD ST - SUITE B,2011-02-01,YES,YES,YES,YES,1996-02-01,Better Than Expected,4.5 - 5.0,Proprietary
Missouri,74952,267505,P O BOX 309,2011-03-12,YES,YES,YES,YES,1996-03-12,Same As Expected,3.0 - 4.0,Government - Local
Missouri,74652,267511,225 E SUNSHINE ST SUITE 1,2011-07-18,YES,YES,YES,YES,1996-07-18,Not Available,,Proprietary
Missouri,74177,267513,4335 LEXINGTON AVENUE,2011-07-31,YES,YES,YES,NO,1996-07-31,Not Available,,Proprietary
Missouri,72127,267514,2825 BLOOMFIELD ROAD,2011-08-07,YES,YES,YES,YES,1996-08-07,Same As Expected,3.0 - 4.0,Non - Profit Religious
Missouri,72127,267515,14 C DOCTORS PARK,2011-08-08,YES,YES,YES,YES,1996-08-08,Same As Expected,3.0 - 4.0,Non - Profit Religious
Missouri,72302,267518,655 CRAIG ROAD  SUITE 140,2011-09-18,YES,YES,YES,YES,1996-09-18,Same As Expected,3.0 - 4.0,Proprietary
Missouri,72377,267522,1415 WALNUT STREET,2011-10-07,YES,YES,YES,YES,1996-10-07,Same As Expected,3.0 - 4.0,Proprietary
Missouri,74027,267525,3312 BROWN ROAD SUITE 201,2011-10-17,YES,YES,YES,NO,1996-10-17,Not Available,,Proprietary
Missouri,74377,267529,910 S FLORISSANT RDSTE 200,2011-10-22,YES,YES,YES,YES,1996-10-22,Not Available,,Proprietary
Missouri,74227,267530,1000 CAMERA AVENUE  SUITE B,2011-11-01,YES,YES,NO,YES,1996-11-01,Better Than Expected,4.5 - 5.0,Proprietary
Missouri,74727,267535,4200 N CLOVERLEAF DRIVE SUITE O,2012-01-13,YES,YES,YES,NO,1997-01-13,Not Available,,Proprietary
Missouri,72777,267539,4201 SOUTH HOCKER DRIVE SUITE 310,2012-04-02,YES,YES,YES,YES,1997-04-02,Same As Expected,3.0 - 4.0,Proprietary
Missouri,72677,267548,PO BOX 544,2012-07-31,YES,YES,NO,NO,1997-07-31,Same As Expected,3.0 - 4.0,Proprietary
