state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Mississippi,75602,257808,797 S JACKSON ST,1997-10-09,YES,NO,NO,YES,1967-10-09,Not Available,,Government - State/ County
Mississippi,75252,257843,400 A WILKINS WISE RD STE 1,1998-01-12,YES,NO,NO,YES,1968-01-12,Not Available,,Government - State/ County
Mississippi,75627,257082,1200 NORTH STATE STREET SUITE 200,1999-03-24,YES,YES,YES,YES,1969-03-24,Same As Expected,3.0 - 4.0,Non - Profit Private
Mississippi,75677,257085,128 SOUTH 11TH AVENUE,2001-03-01,YES,YES,YES,YES,1971-03-01,Same As Expected,3.0 - 4.0,Proprietary
Mississippi,75202,257087,18 MELODY LANE,2003-05-31,YES,YES,YES,YES,1973-05-31,Same As Expected,3.0 - 4.0,Proprietary
Mississippi,75902,257088,P. O. BOX 1249,2003-07-25,YES,YES,YES,YES,1973-07-25,Same As Expected,3.0 - 4.0,Government - Local
Mississippi,75227,257089,P. O. BOX 630,2004-09-04,YES,YES,YES,YES,1974-09-04,Same As Expected,3.0 - 4.0,Government - Local
Mississippi,75502,257090,10281 CORPORATE DRIVE,2005-03-11,YES,YES,YES,YES,1975-03-11,Same As Expected,3.0 - 4.0,Proprietary
Mississippi,75527,257091,133 MAYFAIR ROAD,2005-06-18,YES,YES,YES,YES,1975-06-18,Same As Expected,3.0 - 4.0,Proprietary
Mississippi,75427,257098,300 SOUTH WASHINGTON AVE / PO BOX 5247,2005-11-24,YES,YES,YES,YES,1975-11-24,Same As Expected,3.0 - 4.0,Government - State/ County
Mississippi,75002,257096,#20 BAY AVENUE / P. O. BOX 527,2005-12-10,YES,YES,YES,YES,1975-12-10,Same As Expected,3.0 - 4.0,Government - Local
Mississippi,75852,257097,2080 SOUTH FRONTAGE ROAD SUITE 103,2006-01-09,YES,YES,YES,YES,1976-01-09,Same As Expected,3.0 - 4.0,Proprietary
Mississippi,75677,257099,2260 HIGHWAY 15 NORTH,2006-04-20,YES,YES,YES,YES,1976-04-20,Same As Expected,3.0 - 4.0,Non - Profit Other
Mississippi,75727,257300,2600 OLD NORTH HILLS STREET,2006-06-14,YES,YES,YES,YES,1976-06-14,Same As Expected,3.0 - 4.0,Proprietary
Mississippi,75577,257101,401 BAILEY DRIVE,2006-09-26,YES,YES,YES,YES,1976-09-26,Same As Expected,3.0 - 4.0,Proprietary
Mississippi,75652,257102,406 BRIARWOOD DR BLDG 200,2006-12-12,YES,YES,YES,YES,1976-12-12,Same As Expected,3.0 - 4.0,Proprietary
Mississippi,75852,257103,2080 SOUTH FRONTAGE ROAD SUITE 105,2007-02-11,YES,YES,YES,YES,1977-02-11,Same As Expected,3.0 - 4.0,Proprietary
Mississippi,75877,257107,105 THALWEG DR SUITE B,2007-03-16,YES,YES,YES,YES,1977-03-16,Same As Expected,3.0 - 4.0,Proprietary
Mississippi,75377,257106,210 GILCHRIST STREET / P. O. BOX 699,2007-04-01,YES,YES,YES,YES,1977-04-01,Better Than Expected,4.5 - 5.0,Non - Profit Private
Mississippi,75752,257111,2915 SHORTCUT ROAD,2007-12-01,YES,YES,YES,YES,1977-12-01,Same As Expected,3.0 - 4.0,Proprietary
Mississippi,74977,257114,548 HIGHWAT 6 EAST,2007-12-01,YES,YES,YES,YES,1977-12-01,Worse Than Expected,1.0 - 2.5,Non - Profit Religious
Mississippi,75027,257115,405 N HAYDEN ST,2008-03-15,YES,YES,YES,YES,1978-03-15,Same As Expected,3.0 - 4.0,Proprietary
Mississippi,75302,257117,1001 SOUTH HARPER ROAD,2008-04-01,YES,YES,YES,YES,1978-04-01,Same As Expected,3.0 - 4.0,Government - State/ County
