state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
North Carolina,78652,347015,502 S KEY STREET SUITE 102,1997-06-12,YES,YES,YES,NO,1967-06-12,Better Than Expected,4.5 - 5.0,Proprietary
North Carolina,77327,347017,311 CEDAR ST.,1998-02-06,YES,YES,YES,YES,1968-02-06,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,79677,347019,1801 GLENDALE DRIVE,1998-10-17,YES,YES,YES,YES,1968-10-17,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,76652,347020,400 SHADOWLINE DRIVE BUILDING 200 SUITE 205,1999-01-14,YES,YES,NO,YES,1969-01-14,Better Than Expected,4.5 - 5.0,Proprietary
North Carolina,77102,347021,280 CONCORD PARKWAY STE 110B,1999-03-12,YES,YES,YES,YES,1969-03-12,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,78952,347004,220 SMITH CHURCH ROAD BUILDING C,1999-06-26,YES,YES,YES,YES,1969-06-26,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,79227,347024,300 W PENNSYVANIA AVENUE,1999-10-30,YES,YES,YES,YES,1969-10-30,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,78577,347026,810 KENNEDY AVENUE,2000-05-05,YES,YES,NO,YES,1970-05-05,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,79327,347029,26 WESTCARE DRIVE SUITE 303,2000-07-07,YES,YES,YES,YES,1970-07-07,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,77777,347028,2029  ASHEVILLE HIGHWAY,2000-07-22,YES,YES,YES,YES,1970-07-22,Same As Expected,3.0 - 4.0,Non - Profit Other
North Carolina,76777,347030,120 PROVIDENCE RD STE 200,2000-09-25,YES,YES,YES,YES,1970-09-25,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,77052,347035,560 LEROY GEORGE DR,2001-12-09,YES,YES,YES,YES,1971-12-09,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,77727,347033,115 MOUNTAIN HOME NURSING LANE,2001-12-14,YES,YES,YES,YES,1971-12-14,Same As Expected,3.0 - 4.0,Non - Profit Private
North Carolina,76677,347037,1266 ASHEVILLE HWY SUITE 5,2002-02-23,YES,YES,YES,YES,1972-02-23,Better Than Expected,4.5 - 5.0,Non - Profit Private
North Carolina,77402,347036,4155 FERNCREEK DRIVE,2002-03-27,YES,YES,YES,YES,1972-03-27,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,78352,347039,590 MEDICAL PARK DRIVE,2002-04-26,YES,YES,YES,YES,1972-04-26,Same As Expected,3.0 - 4.0,Non - Profit Private
North Carolina,78977,347041,925 SOUTH LONG DRIVE,2002-07-25,YES,YES,NO,YES,1972-07-25,Same As Expected,3.0 - 4.0,Non - Profit Private
North Carolina,78477,347042,302 MEDICAL PARK COURT,2002-11-16,YES,YES,YES,YES,1972-11-16,Same As Expected,3.0 - 4.0,Non - Profit Other
North Carolina,78327,347044,70 NORTH MAIN STREET,2003-01-01,YES,YES,NO,YES,1973-01-01,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,76502,347049,704 EVANS STREET,2003-03-14,YES,YES,YES,YES,1973-03-14,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,79702,347050,102 RHODES AVENUE,2003-05-01,YES,YES,NO,YES,1973-05-01,Same As Expected,3.0 - 4.0,Government - State/ County
North Carolina,78402,347051,642 WILKESBORO STREET,2003-05-23,YES,YES,YES,YES,1973-05-23,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,77827,347053,1771 TATE BLVD SE SUITE 104,2003-07-01,YES,YES,YES,YES,1973-07-01,Same As Expected,3.0 - 4.0,Government - State/ County
North Carolina,78227,347054,206 GAMBLE DRIVE SUITE B,2003-07-01,YES,YES,YES,YES,1973-07-01,Better Than Expected,4.5 - 5.0,Proprietary
North Carolina,79352,347052,122 E ST JAMES STREET,2003-07-06,YES,YES,YES,YES,1973-07-06,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,77477,347055,170 CHURCH ST,2003-10-31,YES,YES,YES,YES,1973-10-31,Same As Expected,3.0 - 4.0,Non - Profit Private
North Carolina,79002,347056,301 S. CHURCH ST. SUITE 124,2003-11-09,YES,YES,YES,YES,1973-11-09,Worse Than Expected,1.0 - 2.5,Government - Local
North Carolina,79252,347059,541 GAITHER ROAD,2004-02-12,YES,YES,YES,YES,1974-02-12,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,77027,347064,518 BEAMAN STREET,2004-04-03,YES,YES,YES,YES,1974-04-03,Worse Than Expected,1.0 - 2.5,Non - Profit Other
North Carolina,77977,347063,750 SOUTH KENANSVILLE BYPASS,2004-04-19,YES,YES,YES,YES,1974-04-19,Same As Expected,3.0 - 4.0,Non - Profit Private
North Carolina,78077,347061,700 PROGRESS PLACE SUITE C,2004-05-20,YES,YES,YES,YES,1974-05-20,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,79027,347065,7864 US HIGHWAY 117 S  SUITE C,2004-06-03,YES,YES,YES,YES,1974-06-03,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,78252,347068,107 INDUSTRIAL DRIVE,2004-06-21,YES,YES,YES,YES,1974-06-21,Same As Expected,3.0 - 4.0,Government - State/ County
North Carolina,77752,347062,125 CHARLES ROLLINS ROAD,2004-06-28,YES,YES,YES,YES,1974-06-28,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,79602,347043,126 EXECUTIVE DRIVE SUITE 100,2004-07-01,YES,YES,YES,YES,1974-07-01,Same As Expected,3.0 - 4.0,Government - Combination Government & Voluntary
North Carolina,79052,347069,355 A SOUTH MADISON BOULEVARD,2004-08-19,YES,YES,YES,YES,1974-08-19,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,77902,347070,2013 LEJEUNE BLVD,2004-11-13,YES,YES,YES,YES,1974-11-13,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,76527,347071,1000 NORTH FIRST STREET SUITE,2005-04-24,YES,YES,YES,YES,1975-04-24,Worse Than Expected,1.0 - 2.5,Government - Local
North Carolina,78127,347079,2435 MORGANTON BLVD SW,2005-07-01,YES,YES,YES,YES,1975-07-01,Same As Expected,3.0 - 4.0,Non - Profit Other
North Carolina,78302,347074,109 EXETER STREET,2005-07-24,YES,YES,YES,YES,1975-07-24,Better Than Expected,4.5 - 5.0,Government - State/ County
North Carolina,77927,347080,213 WINSTON RD,2006-06-30,YES,YES,YES,YES,1976-06-30,Same As Expected,3.0 - 4.0,Non - Profit Private
North Carolina,77702,347031,1970 WEST ARLINGTON BLVD B2,2006-08-01,YES,YES,YES,YES,1976-08-01,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,77877,347081,9495 NC 305 HWY,2006-10-28,YES,YES,YES,YES,1976-10-28,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,77627,347075,3150 NORTH ELM STREET SUITE 102,2007-09-22,YES,YES,YES,YES,1977-09-22,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,77827,347085,1771 TATE BOULEVARD SE SUITE 101 A,2007-10-24,YES,YES,YES,YES,1977-10-24,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,76602,347083,68 SWEETEN CREEK ROAD,2007-12-05,YES,YES,YES,YES,1977-12-05,Same As Expected,3.0 - 4.0,Non - Profit Private
North Carolina,78527,347014,125 MEDICAL PARK LANE SUITE H,2007-12-21,YES,YES,YES,YES,1977-12-21,Same As Expected,3.0 - 4.0,Non - Profit Other
North Carolina,78202,347089,307 CORNELIUS HARNETT BLVD.,2007-12-21,YES,YES,YES,YES,1977-12-21,Worse Than Expected,1.0 - 2.5,Government - Local
North Carolina,78277,347086,460 COUNTRY CLUB ROAD,2008-02-08,YES,YES,YES,YES,1978-02-08,Better Than Expected,4.5 - 5.0,Government - Local
North Carolina,79577,347084,706 NORTH THOMPSON STREET,2008-03-01,YES,YES,YES,YES,1978-03-01,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,76927,347087,8801 J M KEYNES DRIVE,2008-04-11,YES,YES,YES,YES,1978-04-11,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,77152,347090,1111 HOSPICE DRIVE,2008-07-03,YES,YES,NO,YES,1978-07-03,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,76902,347091,11111 CARMEL COMMONS BLVD  STE 350,2008-10-01,YES,YES,YES,YES,1978-10-01,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,79402,347094,524 TURNER STREET,2008-10-01,YES,YES,YES,YES,1978-10-01,Worse Than Expected,1.0 - 2.5,Proprietary
North Carolina,79302,347096,1151 MAIN STREET,2009-08-17,YES,YES,NO,YES,1979-08-17,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,77352,347097,300 MERCER ROAD PO BOX 189,2009-09-24,YES,YES,YES,YES,1979-09-24,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,76952,347098,9335 HARRIS CORNERS PARKWAY SUITE 190,2000-01-07,YES,YES,YES,YES,1980-01-07,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,77527,347099,1050 XRAY DRIVE,2000-05-22,YES,YES,YES,YES,1980-05-22,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,78602,347100,545 SCHULTZ CIRCLE,2000-07-01,YES,YES,YES,YES,1980-07-01,Same As Expected,3.0 - 4.0,Government - State/ County
North Carolina,79377,347102,338 1ST AVENUE SW,2000-11-14,YES,YES,YES,YES,1980-11-14,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,77002,347101,73 KAISER WILNOTY DRIVE,2000-11-24,YES,YES,YES,YES,1980-11-24,Same As Expected,3.0 - 4.0,Government - Local
North Carolina,79177,347105,514 NORTH BRIGHTLEAF BLVD SUITE 1502,2001-07-01,YES,YES,YES,YES,1981-07-01,Same As Expected,3.0 - 4.0,Government - State/ County
North Carolina,79727,347106,2000 FRONTIS PLAZA BLVD  SUITE 303,2001-07-16,YES,YES,YES,YES,1981-07-16,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,77552,347104,2402 WAYNE MEMORIAL DRIVE,2001-07-24,YES,YES,YES,YES,1981-07-24,Same As Expected,3.0 - 4.0,Non - Profit Private
North Carolina,77202,347110,1005 SLATER ROAD  SUITE 105,2002-06-30,YES,YES,YES,YES,1982-06-30,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,76827,347112,4701 HEDGEMORE DRIVE  SUITE 300,2002-09-30,YES,YES,YES,YES,1982-09-30,Same As Expected,3.0 - 4.0,Non - Profit Other
North Carolina,76527,347113,907 NORTH SECOND STREET,2003-04-28,YES,YES,YES,YES,1983-04-28,Same As Expected,3.0 - 4.0,Non - Profit Other
North Carolina,76977,347114,2520 WHITEHALL PARK DRIVE SUITE 950,2003-07-19,YES,YES,YES,YES,1983-07-19,Same As Expected,3.0 - 4.0,Non - Profit Other
North Carolina,79077,347116,1406-B WEST INNES STREET,2004-03-15,YES,YES,YES,YES,1984-03-15,Worse Than Expected,1.0 - 2.5,Non - Profit Private
North Carolina,78277,347118,2002 NORTH CEDAR STREET SUITE B,2004-07-20,YES,YES,YES,YES,1984-07-20,Worse Than Expected,1.0 - 2.5,Non - Profit Private
North Carolina,79502,347119,544 A WEST RIDGEWAY STREET,2004-08-08,YES,YES,NO,YES,1984-08-08,Same As Expected,3.0 - 4.0,Government - State/ County
North Carolina,76702,347122,1225 HUFFMAN MILL ROAD  SUITE 104,2004-09-07,YES,YES,YES,YES,1984-09-07,Same As Expected,3.0 - 4.0,Non - Profit Private
North Carolina,77652,347120,7900 TRIAD CENTER DRIVE SUITE 250,2004-09-19,YES,YES,YES,YES,1984-09-19,Same As Expected,3.0 - 4.0,Proprietary
North Carolina,78927,347121,8380 NC 87,2004-10-02,YES,YES,YES,YES,1984-10-02,Worse Than Expected,1.0 - 2.5,Non - Profit Private
North Carolina,76702,347123,914 CHAPEL HILL ROAD,2004-11-19,YES,YES,YES,YES,1984-11-19,Same As Expected,3.0 - 4.0,Non - Profit Private
North Carolina,78052,347124,2111-C NORTH QUEEN STREET,2004-12-20,YES,YES,YES,YES,1984-12-20,Same As Expected,3.0 - 4.0,Proprietary
