state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
New Jersey,83202,317056,162 EAST WASHINGTON AVENUE,1997-08-01,YES,YES,YES,YES,1967-08-01,Same As Expected,3.0 - 4.0,Government - State/ County
New Jersey,83252,317045,88 PRINCETON HIGHTSTOWN ROAD SUITE 202,1997-10-15,YES,YES,YES,YES,1967-10-15,Same As Expected,3.0 - 4.0,Non - Profit Other
New Jersey,82452,317020,354 UNION AVENUE,1998-01-02,YES,YES,YES,YES,1968-01-02,Same As Expected,3.0 - 4.0,Non - Profit Religious
New Jersey,83077,317058,783 RIVERVIEW DRIVE,2003-07-01,YES,YES,YES,YES,1973-07-01,Same As Expected,3.0 - 4.0,Non - Profit Private
New Jersey,82377,317059,100 WALNUT AVENUE,2005-05-22,YES,YES,YES,YES,1975-05-22,Same As Expected,3.0 - 4.0,Proprietary
New Jersey,83227,317060,300 EXECUTIVE DRIVE SUITE 175,2008-03-01,YES,YES,YES,YES,1978-03-01,Same As Expected,3.0 - 4.0,Proprietary
New Jersey,83227,317061,80 MAIN STREET SUITE 210,2000-01-01,YES,YES,YES,YES,1980-01-01,Better Than Expected,4.5 - 5.0,Non - Profit Other
New Jersey,82277,317062,56 GEORGETOWN ROAD,2000-04-01,YES,YES,YES,YES,1980-04-01,Same As Expected,3.0 - 4.0,Proprietary
New Jersey,82577,317064,2 JEFFERSON AVENUE,2001-07-08,YES,YES,YES,YES,1981-07-08,Same As Expected,3.0 - 4.0,Proprietary
New Jersey,82352,317065,1415 MARLTON PIKE EAST SUITE 412,2002-02-22,YES,YES,YES,YES,1982-02-22,Worse Than Expected,1.0 - 2.5,Proprietary
New Jersey,82427,317066,6550 DELILAH ROAD SUITE 501,2002-12-01,YES,YES,YES,YES,1982-12-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
New Jersey,83052,317067,1443 HOOPER AVENUE,2003-11-09,YES,YES,YES,YES,1983-11-09,Better Than Expected,4.5 - 5.0,Non - Profit Other
New Jersey,82702,317071,523 FELLOWSHIP ROAD SUITE 250,2004-09-13,YES,YES,YES,YES,1984-09-13,Same As Expected,3.0 - 4.0,Non - Profit Private
New Jersey,82427,317072,6550 DELILAH ROAD SUITE 304,2004-12-28,YES,YES,YES,YES,1984-12-28,Same As Expected,3.0 - 4.0,Non - Profit Other
New Jersey,83177,317073,1099 WHITE HORSE ROAD,2005-01-08,YES,YES,YES,YES,1985-01-08,Worse Than Expected,1.0 - 2.5,Non - Profit Other
New Jersey,82302,317075,LAURELTON PLAZA 1759 STATE HIGHWAY 88 SUITE 100,2005-10-02,YES,YES,YES,YES,1985-10-02,Better Than Expected,4.5 - 5.0,Non - Profit Private
New Jersey,82952,317076,1 THIRD STREET,2005-12-02,YES,YES,YES,YES,1985-12-02,Same As Expected,3.0 - 4.0,Proprietary
New Jersey,82977,317077,718 TEANECK ROAD,2005-12-30,YES,YES,YES,YES,1985-12-30,Better Than Expected,4.5 - 5.0,Non - Profit Private
New Jersey,82877,317081,310 WOODSTOWN ROAD 2ND FLOOR 2 EAST,2006-03-05,YES,YES,YES,YES,1986-03-05,Same As Expected,3.0 - 4.0,Proprietary
New Jersey,82752,317079,972 SHOPPES BOULEVARD,2006-03-19,YES,YES,YES,YES,1986-03-19,Better Than Expected,4.5 - 5.0,Proprietary
New Jersey,82827,317082,365 WEST PASSAIC STREET SUITE 115,2006-09-19,YES,YES,YES,YES,1986-09-19,Better Than Expected,4.5 - 5.0,Proprietary
