state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Oklahoma,95527,377011,2020 ARLINGTON SUITE 6,2007-03-01,YES,YES,NO,YES,1977-03-01,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,96877,377031,1102 E WASHINGTON AVE,2002-08-01,YES,YES,YES,YES,1982-08-01,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,97152,377035,1211 N SHARTEL SUITE 1100,2003-02-01,YES,YES,YES,YES,1983-02-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Oklahoma,97402,377048,4401 W MEMORIAL SUITE 143,2003-12-16,YES,YES,YES,YES,1983-12-16,Same As Expected,3.0 - 4.0,Non - Profit Religious
Oklahoma,96377,377056,319 E JOSEPHINE,2003-12-20,YES,YES,NO,YES,1983-12-20,Same As Expected,3.0 - 4.0,Government - State/ County
Oklahoma,96902,377050,119 SOUTH MAIN STREET,2004-01-06,YES,YES,YES,YES,1984-01-06,Same As Expected,3.0 - 4.0,Non - Profit Other
Oklahoma,97252,377051,3500 N W 56TH STREET STE 201,2004-01-12,YES,YES,YES,YES,1984-01-12,Same As Expected,3.0 - 4.0,Non - Profit Private
Oklahoma,98452,377068,7600 SOUTH LEWIS AVE,2004-03-01,YES,NO,NO,YES,1984-03-01,Better Than Expected,4.5 - 5.0,Non - Profit Other
Oklahoma,96427,377072,1637 S MAIN STREET,2004-04-25,YES,YES,YES,YES,1984-04-25,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,98427,377073,4720 SOUTH HARVARD SUITE 202,2004-04-26,YES,YES,YES,YES,1984-04-26,Same As Expected,3.0 - 4.0,Non - Profit Religious
Oklahoma,96802,377070,12 NORTHWEST SHERIDAN ROAD,2004-05-30,YES,YES,YES,YES,1984-05-30,Same As Expected,3.0 - 4.0,Non - Profit Other
Oklahoma,96127,377078,1400 BRYAN DRIVE SUITE 211,2004-06-12,YES,YES,YES,YES,1984-06-12,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,97777,377081,1025 NE FIRST STREET,2004-06-21,YES,YES,YES,YES,1984-06-21,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,97727,377089,111 PATTON DRIVE SUITE 2,2004-08-21,YES,YES,YES,YES,1984-08-21,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,96877,377090,1308 EAST CARL ALBERT PKWY,2004-08-24,YES,YES,YES,YES,1984-08-24,Same As Expected,3.0 - 4.0,Government - Local
Oklahoma,97577,377094,1401 MORRIS DRIVE,2004-09-18,YES,YES,NO,YES,1984-09-18,Same As Expected,3.0 - 4.0,Government - State/ County
Oklahoma,96202,377091,2115 PARK VIEW DRIVE,2004-10-02,YES,YES,YES,YES,1984-10-02,Same As Expected,3.0 - 4.0,Non - Profit Religious
Oklahoma,96952,377096,300 ROCKEFELLER DR,2004-11-16,YES,YES,YES,YES,1984-11-16,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,98452,377107,6600 S YALE AVE STE 200,2004-11-28,YES,YES,YES,YES,1984-11-28,Same As Expected,3.0 - 4.0,Non - Profit Religious
Oklahoma,95627,377121,1210 MERRICK DRIVE,2005-04-17,YES,YES,YES,YES,1985-04-17,Same As Expected,3.0 - 4.0,Non - Profit Religious
Oklahoma,95777,377126,1621 SOUTH EUCALYPTUS AVENUE,2005-06-18,YES,YES,YES,YES,1985-06-18,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,97752,377131,2704 N BROADWAY,2005-07-31,YES,YES,YES,YES,1985-07-31,Not Available,,Proprietary
Oklahoma,95577,377137,1204 E TAMARACK ROAD,2005-11-21,YES,YES,YES,YES,1985-11-21,Same As Expected,3.0 - 4.0,Government - State/ County
Oklahoma,95952,377138,121 SOUTH BROADWAY,2005-12-17,YES,YES,YES,YES,1985-12-17,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,98077,377059,2310 W 7TH AVENUE,2006-01-27,YES,YES,YES,YES,1986-01-27,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,96102,377142,2000 WEST ELK AVE,2006-07-10,YES,YES,YES,YES,1986-07-10,Same As Expected,3.0 - 4.0,Non - Profit Other
Oklahoma,96602,377146,804 EAST JACKSON ST,2007-02-11,YES,YES,YES,YES,1987-02-11,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,97952,377158,2802 N  KICKAPOO AVE,2008-12-22,YES,YES,YES,YES,1988-12-22,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,98127,377161,1401 WEST LOUCST STREET,2009-05-18,YES,YES,YES,YES,1989-05-18,Same As Expected,3.0 - 4.0,Non - Profit Other
Oklahoma,98052,377162,111 NORTH BROADWAY STREET,2009-06-30,YES,YES,YES,YES,1989-06-30,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,96752,377164,2210 WEST GORE BLVD SUITE 3,2009-08-09,YES,YES,YES,YES,1989-08-09,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,98052,377166,205 EAST MAIN STREET,2009-09-18,YES,YES,YES,YES,1989-09-18,Not Available,,Proprietary
Oklahoma,96302,377167,1109 WCHERRY STREET,2009-12-06,YES,YES,YES,YES,1989-12-06,Same As Expected,3.0 - 4.0,Proprietary
Oklahoma,96627,377169,1301 EAST LINCOLN RD,2005-03-15,YES,YES,NO,YES,1990-03-15,Not Available,,Proprietary
Oklahoma,97277,377170,4045 NW 64TH ST SUITE 420,2005-04-24,YES,YES,YES,YES,1990-04-24,Same As Expected,3.0 - 4.0,Proprietary
