state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Texas,126652,457024,2807 N BEN WILSON,1997-05-09,YES,YES,YES,YES,1967-05-09,Same As Expected,3.0 - 4.0,Government - State/ County
Texas,127177,457047,4245 KEMP BLVD SUITE 120,1999-05-01,YES,YES,YES,YES,1969-05-01,Same As Expected,3.0 - 4.0,Proprietary
Texas,112727,457050,8701 N MOPAC EXPRESSWAY SUITE 165,1999-08-01,YES,YES,YES,YES,1969-08-01,Worse Than Expected,1.0 - 2.5,Proprietary
Texas,112952,457051,1725 WEST CARDINAL DRIVE,1999-08-06,YES,YES,YES,YES,1969-08-06,Same As Expected,3.0 - 4.0,Proprietary
Texas,112952,457053,1725 A WESTCARDINAL DR,1999-08-06,YES,YES,YES,YES,1969-08-06,Same As Expected,3.0 - 4.0,Proprietary
Texas,115802,457083,14114 DALLAS PARKWAY SUITE 670,2004-06-10,YES,YES,YES,YES,1974-06-10,Same As Expected,3.0 - 4.0,Non - Profit Other
Texas,126852,457087,1314 W U HWY 287 BYPASS UNIT 3,2005-04-29,YES,YES,YES,YES,1975-04-29,Same As Expected,3.0 - 4.0,Proprietary
Texas,118252,457089,1713 E TYLER  SUITE A,2005-05-06,YES,YES,YES,YES,1975-05-06,Not Available,,Proprietary
Texas,125177,457094,1941 IH-35 SOUTH #101,2005-08-08,YES,YES,YES,YES,1975-08-08,Same As Expected,3.0 - 4.0,Proprietary
Texas,118477,457095,1528 HIGHWAY 77 NORTH,2005-12-01,YES,YES,YES,YES,1975-12-01,Same As Expected,3.0 - 4.0,Proprietary
Texas,113577,457099,3608 EAST 29TH STREET STE #212,2006-05-20,YES,YES,YES,YES,1976-05-20,Same As Expected,3.0 - 4.0,Proprietary
Texas,113227,457107,1900 GREGG STREET SUITE C,2007-06-17,YES,YES,NO,YES,1977-06-17,Same As Expected,3.0 - 4.0,Proprietary
Texas,126252,457015,600 WEST 16TH STREET,2008-05-10,YES,YES,YES,YES,1978-05-10,Same As Expected,3.0 - 4.0,Proprietary
Texas,126677,457126,1501 EAST MOCKINGBIRD LANE SUITE 301,2000-05-22,YES,YES,YES,YES,1980-05-22,Same As Expected,3.0 - 4.0,Proprietary
Texas,126627,457124,1829 WILBARGER ST,2000-06-10,YES,YES,YES,YES,1980-06-10,Same As Expected,3.0 - 4.0,Proprietary
Texas,116402,457128,405 E COMMERCE ST,2000-08-01,YES,YES,YES,YES,1980-08-01,Same As Expected,3.0 - 4.0,Proprietary
Texas,126102,457096,1920 BIRDCREEK DRIVE,2000-12-10,YES,YES,YES,YES,1980-12-10,Same As Expected,3.0 - 4.0,Proprietary
Texas,114627,457146,4444 CORONA DR STE 120,2001-06-16,YES,YES,YES,NO,1981-06-16,Not Available,,Proprietary
Texas,114827,457159,2001 E HOUSTON,2001-09-22,YES,YES,YES,YES,1981-09-22,Same As Expected,3.0 - 4.0,Non - Profit Other
Texas,120377,457173,111 CASH STREET,2001-09-23,YES,YES,YES,YES,1981-09-23,Same As Expected,3.0 - 4.0,Non - Profit Other
Texas,112652,457174,505 EAST HUNTLAND DR STE 180,2001-10-16,YES,YES,YES,YES,1981-10-16,Same As Expected,3.0 - 4.0,Proprietary
Texas,118252,457193,1659 SAM HOUSTON,2002-03-09,YES,YES,YES,YES,1982-03-09,Same As Expected,3.0 - 4.0,Proprietary
Texas,122702,457210,106 MORGAN,2002-06-23,YES,YES,YES,YES,1982-06-23,Not Available,,Proprietary
Texas,111927,457213,2007 S  COULTER,2002-06-25,YES,YES,YES,YES,1982-06-25,Same As Expected,3.0 - 4.0,Proprietary
Texas,117452,457216,808 RUEBEN STREET,2002-07-06,YES,YES,YES,YES,1982-07-06,Better Than Expected,4.5 - 5.0,Non - Profit Other
Texas,114627,457247,5656 SOUTH STAPLES STE 100,2002-07-22,YES,YES,YES,YES,1982-07-22,Same As Expected,3.0 - 4.0,Proprietary
Texas,115102,457223,4849 GREENVILLE AVE SUITE 1400,2002-08-10,YES,YES,YES,YES,1982-08-10,Same As Expected,3.0 - 4.0,Proprietary
Texas,113127,457222,6700 WEST LOOP SOUTH SUITE 200,2002-08-17,YES,YES,YES,YES,1982-08-17,Same As Expected,3.0 - 4.0,Proprietary
Texas,124652,457251,921 MATAGORDA STREET,2002-09-17,YES,YES,YES,YES,1982-09-17,Same As Expected,3.0 - 4.0,Proprietary
Texas,120127,457264,9810 FM 1960 BYPASS ROAD WEST SUITE 215,2002-11-22,YES,YES,YES,YES,1982-11-22,Same As Expected,3.0 - 4.0,Proprietary
Texas,121127,457440,7128 ROSSON LANE STE 5,2003-03-24,YES,NO,NO,NO,1983-03-24,Not Available,,Proprietary
Texas,117627,457497,1615 HOSPITAL BLVD SUITE B,2003-07-05,YES,YES,YES,NO,1983-07-05,Same As Expected,3.0 - 4.0,Government - State/ County
Texas,113977,457489,901 HIGHWAY 83 NORTH,2003-07-24,YES,YES,YES,YES,1983-07-24,Same As Expected,3.0 - 4.0,Government - Local
Texas,124752,457491,84 N E LOOP 410 SUITE 250,2003-07-26,YES,YES,YES,YES,1983-07-26,Same As Expected,3.0 - 4.0,Proprietary
Texas,122727,457507,412 SOUTH HIGHWAY 37,2003-08-25,YES,YES,YES,YES,1983-08-25,Same As Expected,3.0 - 4.0,Proprietary
Texas,126677,457503,6502 NURSERY DR STE 303,2003-08-31,YES,YES,YES,YES,1983-08-31,Same As Expected,3.0 - 4.0,Proprietary
Texas,116777,457513,7500 VISCOUNT BLVD SUITE 156,2003-09-01,YES,YES,YES,YES,1983-09-01,Same As Expected,3.0 - 4.0,Proprietary
Texas,123677,457514,2101 W 24TH,2003-09-21,YES,YES,YES,YES,1983-09-21,Same As Expected,3.0 - 4.0,Proprietary
Texas,123127,457528,3800 E 42ND SUITE 203,2003-09-29,YES,YES,YES,YES,1983-09-29,Same As Expected,3.0 - 4.0,Proprietary
Texas,112802,457506,3965 HWY 71 EAST,2003-09-30,YES,YES,YES,NO,1983-09-30,Same As Expected,3.0 - 4.0,Proprietary
Texas,113127,457537,4710 BELLAIRE BOULEVARD SUITE #390,2003-10-26,YES,YES,YES,YES,1983-10-26,Same As Expected,3.0 - 4.0,Proprietary
Texas,114627,457534,4122 WEBER ROAD SUITE B,2003-11-15,YES,YES,YES,YES,1983-11-15,Same As Expected,3.0 - 4.0,Proprietary
Texas,126127,457555,5701 AIRPORT ROAD POD M,2003-11-23,YES,YES,YES,YES,1983-11-23,Same As Expected,3.0 - 4.0,Non - Profit Private
Texas,114027,457567,200 S GOODNIGHT,2003-12-27,YES,YES,YES,YES,1983-12-27,Same As Expected,3.0 - 4.0,Proprietary
Texas,121927,457582,104 SOUTH TERRY STREET,2003-12-28,YES,YES,YES,YES,1983-12-28,Same As Expected,3.0 - 4.0,Non - Profit Other
Texas,121752,457548,8806 UNIVERSITY AVENUE,2004-01-09,YES,YES,YES,YES,1984-01-09,Better Than Expected,4.5 - 5.0,Proprietary
Texas,118452,457579,540 WEST 15TH STREET,2004-01-31,YES,YES,YES,YES,1984-01-31,Same As Expected,3.0 - 4.0,Government - Local
Texas,111727,457577,301 LUCERO STREET,2004-02-01,YES,NO,NO,YES,1984-02-01,Not Available,,Non - Profit Private
Texas,111577,457564,265 SOUTH LEGGETT DRIVE SUITE 1,2004-02-20,YES,YES,YES,YES,1984-02-20,Same As Expected,3.0 - 4.0,Proprietary
Texas,123327,457586,385 STONE AVENUE,2004-02-22,YES,YES,NO,YES,1984-02-22,Same As Expected,3.0 - 4.0,Proprietary
Texas,117127,457575,1307 8TH AVE SUITE 305,2004-03-05,YES,YES,YES,YES,1984-03-05,Same As Expected,3.0 - 4.0,Proprietary
Texas,126952,457550,807 WEST AVENUE,2004-03-09,YES,YES,NO,YES,1984-03-09,Not Available,,Proprietary
Texas,111927,457590,2007 S COULTER STREET,2004-03-14,YES,YES,YES,YES,1984-03-14,Same As Expected,3.0 - 4.0,Proprietary
Texas,112002,457596,1801 NE MUSTANG DRIVE,2004-04-03,YES,YES,YES,YES,1984-04-03,Same As Expected,3.0 - 4.0,Government - Local
Texas,125552,457656,5301 TRINITY BLVD SUITE F,2004-04-24,YES,YES,YES,YES,1984-04-24,Same As Expected,3.0 - 4.0,Government - State/ County
Texas,123552,457640,2309 S CEDAR,2004-05-22,YES,YES,YES,YES,1984-05-22,Same As Expected,3.0 - 4.0,Government - State/ County
Texas,117952,457634,1314 N SARAH DEWITT DRIVE,2004-06-28,YES,YES,YES,YES,1984-06-28,Same As Expected,3.0 - 4.0,Non - Profit Other
Texas,118502,457645,2003 AVENUE G,2004-07-24,YES,YES,NO,YES,1984-07-24,Same As Expected,3.0 - 4.0,Proprietary
Texas,117827,457668,402 EAST MAIN STREET,2004-07-24,YES,YES,NO,YES,1984-07-24,Same As Expected,3.0 - 4.0,Government - Local
Texas,124552,457646,2030 PULLIAM STREET SUITE 6,2004-07-25,YES,YES,YES,YES,1984-07-25,Better Than Expected,4.5 - 5.0,Non - Profit Private
Texas,115977,457655,1115 MEMORIAL DRIVE,2004-08-22,YES,YES,YES,YES,1984-08-22,Same As Expected,3.0 - 4.0,Proprietary
Texas,124352,457661,1 CHISOLM TRAIL SUITE 250,2004-09-07,YES,YES,YES,YES,1984-09-07,Same As Expected,3.0 - 4.0,Proprietary
Texas,116952,457667,1505 LBJ FREEWAY SUITE 240,2004-09-19,YES,YES,YES,YES,1984-09-19,Worse Than Expected,1.0 - 2.5,Proprietary
Texas,121577,457691,103 W LOOP 281 UNIT 480,2004-09-27,YES,YES,YES,YES,1984-09-27,Same As Expected,3.0 - 4.0,Proprietary
Texas,114927,457696,615 NORTH ESPLANADE,2004-10-10,YES,YES,YES,NO,1984-10-10,Same As Expected,3.0 - 4.0,Government - State/ County
Texas,121827,457733,1109 ELLIS STREET,2004-10-30,YES,YES,YES,YES,1984-10-30,Same As Expected,3.0 - 4.0,Non - Profit Religious
Texas,121102,457724,1700 HENDRICKS AVE FL 2,2004-11-06,YES,YES,YES,YES,1984-11-06,Same As Expected,3.0 - 4.0,Proprietary
Texas,113077,457702,1310 NORWOOD DRIVE STE 100,2004-11-12,YES,YES,YES,YES,1984-11-12,Not Available,,Proprietary
Texas,114152,457688,101 HILLSIDE DRIVE,2004-11-27,YES,YES,YES,NO,1984-11-27,Same As Expected,3.0 - 4.0,Government - Local
Texas,113302,457692,2001 N CENTER ST,2004-11-28,YES,YES,YES,YES,1984-11-28,Same As Expected,3.0 - 4.0,Proprietary
Texas,117852,457709,2120 SCENIC DRIVE,2005-01-14,YES,YES,YES,YES,1985-01-14,Same As Expected,3.0 - 4.0,Non - Profit Private
Texas,119777,457743,6105 W OREM DR SUITE 100,2005-02-27,YES,YES,YES,YES,1985-02-27,Not Available,,Proprietary
Texas,112402,457736,1007 SOUTH WILLIAM STREET,2005-03-07,YES,YES,YES,YES,1985-03-07,Same As Expected,3.0 - 4.0,Non - Profit Religious
Texas,125752,457741,11929 WEST AIRPORT BLVD SUITE 150,2005-03-12,YES,YES,YES,YES,1985-03-12,Better Than Expected,4.5 - 5.0,Non - Profit Other
Texas,111927,457754,1934 MEDI PARK DR,2005-03-28,YES,YES,YES,YES,1985-03-28,Same As Expected,3.0 - 4.0,Proprietary
Texas,113752,457760,707 HOSPITAL DRIVE,2005-04-10,YES,YES,NO,NO,1985-04-10,Same As Expected,3.0 - 4.0,Government - State/ County
Texas,124852,457777,4241 WOODCOCK DRIVE SUITE #A 100,2005-05-02,YES,YES,YES,YES,1985-05-02,Same As Expected,3.0 - 4.0,Non - Profit Religious
Texas,112777,457773,2001 HUTCHINS SUITE B,2005-05-13,YES,YES,YES,YES,1985-05-13,Same As Expected,3.0 - 4.0,Proprietary
Texas,111502,457761,1393 AMBLER STREET,2005-05-14,YES,YES,YES,YES,1985-05-14,Same As Expected,3.0 - 4.0,Non - Profit Religious
Texas,123902,457762,128 N COMMERCE ST,2005-05-30,YES,YES,YES,YES,1985-05-30,Same As Expected,3.0 - 4.0,Proprietary
Texas,126777,457377,342 RICHLAND WEST CIRCLE,2005-06-13,YES,YES,YES,YES,1985-06-13,Same As Expected,3.0 - 4.0,Proprietary
Texas,115927,457786,106 S WASHBURN ST,2005-07-02,YES,YES,YES,YES,1985-07-02,Same As Expected,3.0 - 4.0,Proprietary
Texas,111777,457789,780 NORTH WATTERS ROAD,2005-08-06,YES,YES,YES,YES,1985-08-06,Same As Expected,3.0 - 4.0,Proprietary
Texas,124577,677011,6243 IH10 WEST SUITE #375,2005-10-01,YES,YES,YES,YES,1985-10-01,Same As Expected,3.0 - 4.0,Proprietary
Texas,118577,677006,4310 AUSTIN STREET,2005-10-04,YES,YES,YES,YES,1985-10-04,Not Available,,Non - Profit Private
Texas,114277,677000,271 WALNUT STREET,2005-10-24,YES,YES,NO,YES,1985-10-24,Same As Expected,3.0 - 4.0,Proprietary
Texas,123652,677037,19 COUNTY ROAD 4114 SUITE 2,2005-12-06,YES,YES,YES,YES,1985-12-06,Same As Expected,3.0 - 4.0,Non - Profit Other
Texas,121252,457719,1611 FM ROAD 300 SUITE A,2005-12-10,YES,YES,YES,NO,1985-12-10,Not Available,,Non - Profit Private
