state,LocationNO,Certification_NO,Address,LicenseRenewalDate,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Home Health Aide Services,Date Certified,Service Quality,ServiceQualityRating,Type of Ownership
Washington,133627,507028,302 S 10TH AVENUE,2000-01-01,YES,YES,YES,YES,1970-01-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Washington,133577,507029,903 RED APPLE RD   PO BOX 1887,2001-01-08,YES,YES,YES,YES,1971-01-08,Same As Expected,3.0 - 4.0,Non - Profit Private
Washington,133402,507031,4020 S 56TH ST STE 101,2001-08-02,YES,YES,YES,YES,1971-08-02,Same As Expected,3.0 - 4.0,Proprietary
Washington,133552,507034,380 CHASE AVENUE,2005-01-28,YES,YES,YES,YES,1975-01-28,Same As Expected,3.0 - 4.0,Non - Profit Religious
Washington,133027,507038,800 JASMINE STREET SUITE 2,2006-01-01,YES,YES,YES,YES,1976-01-01,Better Than Expected,4.5 - 5.0,Proprietary
Washington,132952,507040,1035 11TH AVENUE,2007-06-01,YES,YES,YES,YES,1977-06-01,Same As Expected,3.0 - 4.0,Non - Profit Private
Washington,132552,507042,2120 NORTHPARK STREET SUITE B,2008-01-02,YES,YES,YES,YES,1978-01-02,Better Than Expected,4.5 - 5.0,Proprietary
Washington,133627,507043,7 SOUTH 10TH AVE,2008-05-24,YES,YES,YES,YES,1978-05-24,Same As Expected,3.0 - 4.0,Proprietary
Washington,133252,507044,111 WEST NORTH RIVER DRIVE SUITE 204,2008-06-01,YES,YES,YES,YES,1978-06-01,Same As Expected,3.0 - 4.0,Proprietary
Washington,133002,507004,3432 SOUTH BAY ROAD NE,2008-12-01,YES,YES,YES,YES,1978-12-01,Same As Expected,3.0 - 4.0,Non - Profit Religious
Washington,133402,507046,3901 SOUTH FIFE STREET,2009-06-01,YES,YES,YES,YES,1979-06-01,Same As Expected,3.0 - 4.0,Non - Profit Other
Washington,132977,507048,1417 SOUTH PIONEER WAY,2009-11-09,YES,YES,YES,YES,1979-11-09,Same As Expected,3.0 - 4.0,Proprietary
Washington,133077,507050,2500 WEST SIMS WAY SUITE 300,2009-12-18,YES,YES,YES,YES,1979-12-18,Same As Expected,3.0 - 4.0,Government - Local
Washington,132852,507082,20829 72ND AVENUE SOUTH SUITE 125,2000-10-09,YES,YES,YES,YES,1980-10-09,Same As Expected,3.0 - 4.0,Proprietary
Washington,133527,507081,204 SE STONEMILL DRIVE STE 260,2000-10-29,YES,YES,YES,YES,1980-10-29,Same As Expected,3.0 - 4.0,Proprietary
Washington,133202,507084,115 NE 100TH STREET,2000-10-29,YES,YES,YES,YES,1980-10-29,Better Than Expected,4.5 - 5.0,Proprietary
