LocationNO,Country,State_Abbv,State,County,City,ZipCode
6627,United States,AZ,Arizona,Cochise,BISBEE,85603
6652,United States,AZ,Arizona,Mohave,BULLHEAD CITY,86442
6677,United States,AZ,Arizona,Pinal,CASA GRANDE,85122
6702,United States,AZ,Arizona,Maricopa,CHANDLER,85225
6727,United States,AZ,Arizona,,CHANDLER,85286
6752,United States,AZ,Arizona,Yavapai,COTTONWOOD,86326
6777,United States,AZ,Arizona,Coconino,FLAGSTAFF,86001
6802,United States,AZ,Arizona,Mohave,FORT MOHAVE,86426
6827,United States,AZ,Arizona,Maricopa,GILBERT,85297
6852,United States,AZ,Arizona,Maricopa,GLENDALE,85304
6877,United States,AZ,Arizona,Maricopa,GLENDALE,85308
6902,United States,AZ,Arizona,Maricopa,GOODYEAR,85338
6927,United States,AZ,Arizona,,GOODYEAR,85395
6952,United States,AZ,Arizona,Pima,GREEN VALLEY,85614
6977,United States,AZ,Arizona,Mohave,KINGMAN,86401
7002,United States,AZ,Arizona,,KINGMAN,86409
7027,United States,AZ,Arizona,Mohave,LAKE HAVASU CITY,86403
7052,United States,AZ,Arizona,Maricopa,MESA,85201
7077,United States,AZ,Arizona,Maricopa,MESA,85202
7102,United States,AZ,Arizona,Maricopa,MESA,85203
7127,United States,AZ,Arizona,Maricopa,MESA,85204
7152,United States,AZ,Arizona,Maricopa,MESA,85205
7177,United States,AZ,Arizona,Maricopa,MESA,85210
7202,United States,AZ,Arizona,Maricopa,MESA,85213
7227,United States,AZ,Arizona,Gila,MIAMI,85539
7252,United States,AZ,Arizona,Santa Cruz,NOGALES,85621
7277,United States,AZ,Arizona,Coconino,PAGE,86040
7302,United States,AZ,Arizona,La Paz,PARKER,85344
7327,United States,AZ,Arizona,Gila,PAYSON,85541
7352,United States,AZ,Arizona,Maricopa,PEORIA,85381
7377,United States,AZ,Arizona,Maricopa,PHOENIX,85004
7402,United States,AZ,Arizona,Maricopa,PHOENIX,85007
7427,United States,AZ,Arizona,Maricopa,PHOENIX,85012
7452,United States,AZ,Arizona,Maricopa,PHOENIX,85013
7477,United States,AZ,Arizona,Maricopa,PHOENIX,85014
7502,United States,AZ,Arizona,Maricopa,PHOENIX,85015
7527,United States,AZ,Arizona,Maricopa,PHOENIX,85016
7552,United States,AZ,Arizona,Maricopa,PHOENIX,85018
7577,United States,AZ,Arizona,Maricopa,PHOENIX,85020
7602,United States,AZ,Arizona,Maricopa,PHOENIX,85021
7627,United States,AZ,Arizona,Maricopa,PHOENIX,85022
7652,United States,AZ,Arizona,Maricopa,PHOENIX,85023
7677,United States,AZ,Arizona,Maricopa,PHOENIX,85024
7702,United States,AZ,Arizona,Maricopa,PHOENIX,85027
7727,United States,AZ,Arizona,Maricopa,PHOENIX,85028
7752,United States,AZ,Arizona,Maricopa,PHOENIX,85029
7777,United States,AZ,Arizona,Maricopa,PHOENIX,85032
7802,United States,AZ,Arizona,Maricopa,PHOENIX,85034
7827,United States,AZ,Arizona,Maricopa,PHOENIX,85037
7852,United States,AZ,Arizona,Maricopa,PHOENIX,85040
7877,United States,AZ,Arizona,Maricopa,PHOENIX,85050
7902,United States,AZ,Arizona,Maricopa,PHOENIX,85051
7927,United States,AZ,Arizona,Maricopa,PHOENIX,85053
7952,United States,AZ,Arizona,Yavapai,PRESCOTT,86301
7977,United States,AZ,Arizona,Yavapai,PRESCOTT,86305
8002,United States,AZ,Arizona,Yavapai,PRESCOTT VALLEY,86314
8027,United States,AZ,Arizona,Graham,SAFFORD,85546
8052,United States,AZ,Arizona,Maricopa,SCOTTSDALE,85250
8077,United States,AZ,Arizona,Maricopa,SCOTTSDALE,85251
8102,United States,AZ,Arizona,Maricopa,SCOTTSDALE,85253
8127,United States,AZ,Arizona,Maricopa,SCOTTSDALE,85255
8152,United States,AZ,Arizona,Maricopa,SCOTTSDALE,85258
8177,United States,AZ,Arizona,Maricopa,SCOTTSDALE,85260
8202,United States,AZ,Arizona,Navajo,SHOW LOW,85901
8227,United States,AZ,Arizona,Cochise,SIERRA VISTA,85635
8252,United States,AZ,Arizona,Maricopa,SUN CITY,85373
8277,United States,AZ,Arizona,Maricopa,SURPRISE,85374
8302,United States,AZ,Arizona,Maricopa,SURPRISE,85378
8327,United States,AZ,Arizona,Maricopa,TEMPE,85281
8352,United States,AZ,Arizona,Maricopa,TEMPE,85282
8377,United States,AZ,Arizona,Maricopa,TEMPE,85283
8402,United States,AZ,Arizona,Pima,TUCSON,85704
8427,United States,AZ,Arizona,Pima,TUCSON,85705
8452,United States,AZ,Arizona,Pima,TUCSON,85711
8477,United States,AZ,Arizona,Pima,TUCSON,85712
8502,United States,AZ,Arizona,Pima,TUCSON,85715
8527,United States,AZ,Arizona,Pima,TUCSON,85718
8552,United States,AZ,Arizona,Pima,TUCSON,85719
8577,United States,AZ,Arizona,Pima,TUCSON,85741
8602,United States,AZ,Arizona,Maricopa,YOUNGTOWN,85363
8627,United States,AZ,Arizona,Yuma,YUMA,85364
8652,United States,AZ,Arizona,Yuma,YUMA,85365
20127,United States,CO,Colorado,Alamosa,ALAMOSA,81101
20152,United States,CO,Colorado,Adams,AURORA,80011
20177,United States,CO,Colorado,Arapahoe,AURORA,80012
20202,United States,CO,Colorado,Arapahoe,AURORA,80014
20227,United States,CO,Colorado,Boulder,BOULDER,80301
20252,United States,CO,Colorado,Boulder,BOULDER,80304
20277,United States,CO,Colorado,Boulder,BROOMFIELD,80020
20302,United States,CO,Colorado,Jefferson,BROOMFIELD,80021
20327,United States,CO,Colorado,Chaffee,BUENA VISTA,81211
20352,United States,CO,Colorado,Kit Carson,BURLINGTON,80807
20377,United States,CO,Colorado,Douglas,CASTLE ROCK,80104
20402,United States,CO,Colorado,Arapahoe,CENTENNIAL,80112
20427,United States,CO,Colorado,El Paso,COLORADO SPRINGS,80903
20452,United States,CO,Colorado,El Paso,COLORADO SPRINGS,80904
20477,United States,CO,Colorado,El Paso,COLORADO SPRINGS,80905
20502,United States,CO,Colorado,El Paso,COLORADO SPRINGS,80906
20527,United States,CO,Colorado,El Paso,COLORADO SPRINGS,80907
20552,United States,CO,Colorado,El Paso,COLORADO SPRINGS,80908
20577,United States,CO,Colorado,El Paso,COLORADO SPRINGS,80909
20602,United States,CO,Colorado,El Paso,COLORADO SPRINGS,80918
20627,United States,CO,Colorado,El Paso,COLORADO SPRINGS,80919
20652,United States,CO,Colorado,Montezuma,CORTEZ,81321
20677,United States,CO,Colorado,Moffat,CRAIG,81625
20702,United States,CO,Colorado,Delta,DELTA,81416
20727,United States,CO,Colorado,Denver,DENVER,80203
20752,United States,CO,Colorado,Denver,DENVER,80206
20777,United States,CO,Colorado,Denver,DENVER,80207
20802,United States,CO,Colorado,Denver,DENVER,80211
20827,United States,CO,Colorado,Adams,DENVER,80221
20852,United States,CO,Colorado,Denver,DENVER,80222
20877,United States,CO,Colorado,Denver,DENVER,80224
20902,United States,CO,Colorado,Denver,DENVER,80230
20927,United States,CO,Colorado,Denver,DENVER,80231
20952,United States,CO,Colorado,Denver,DENVER,80237
20977,United States,CO,Colorado,Denver,DENVER,80246
21002,United States,CO,Colorado,La Plata,DURANGO,81301
21027,United States,CO,Colorado,Arapahoe,ENGLEWOOD,80110
21052,United States,CO,Colorado,Arapahoe,ENGLEWOOD,80112
21077,United States,CO,Colorado,Larimer,ESTES PARK,80517
21102,United States,CO,Colorado,Jefferson,EVERGREEN,80439
21127,United States,CO,Colorado,Larimer,FORT COLLINS,80521
21152,United States,CO,Colorado,Larimer,FORT COLLINS,80524
21177,United States,CO,Colorado,Larimer,FORT COLLINS,80525
21202,United States,CO,Colorado,Larimer,FORT COLLINS,80526
21227,United States,CO,Colorado,Morgan,FORT MORGAN,80701
21252,United States,CO,Colorado,Summit,FRISCO,80443
21277,United States,CO,Colorado,Larimer,FT COLLINS,80525
21302,United States,CO,Colorado,Denver,GLENDALE,80246
21327,United States,CO,Colorado,Garfield,GLENWOOD SPRINGS,81601
