CertificationNO,Provider Name,State
37011,AMEDISYS HOME HEALTH,AZ
37015,BANNER HOME CARE,AZ
37016,INTERIM HEALTHCARE,AZ
37020,HOSPICE OF THE VALLEY HOME HEALTH AGENCY,AZ
37024,SCOTTSDALE HEALTHCARE HOME HEALTH SERVICES,AZ
37027,SUMMIT HEALTHCARE HOME HEALTH,AZ
37030,BAYADA HOME HEALTH CARE INC.,AZ
37036,GENTIVA HEALTH SERVICES,AZ
37037,GENTIVA HEALTH SERVICES,AZ
37042,NORTHERN ARIZONA HOME HEALTH,AZ
37047,NORTHERN ARIZONA HOME HEALTH,AZ
37050,KINGMAN REGIONAL MEDICAL CENTER HOME HEALTH,AZ
37057,HAVASU REGIONAL MED CENTER HOME HEALTH,AZ
37068,BAYADA HOME HEALTH CARE INC,AZ
37070,DEPENDABLE HOME HEALTH INC,AZ
37099,LEGACY HOME HEALTH CARE OF SOUTHERN ARIZONA,AZ
37101,FOUNDATION FOR SENIOR LIVING HOME HEALTH AGENCY,AZ
37106,AMEDISYS HOME HEALTH CARE,AZ
37112,INTREPID USA HEALTHCARE SERVICES,AZ
37114,BANNER HOME CARE - PAYSON,AZ
37118,NURSECORE OF TUCSON,AZ
37125,NSI NURSING SERVICE INC,AZ
37129,DEPENDABLE HOME HEALTH INC,AZ
37130,BAYADA HOME HEALTH CARE INC,AZ
37132,MD HOME HEALTH,AZ
37133,EL SOL HOME HEALTHCARE LLC,AZ
37139,GRANITE MOUNTAIN HOME CARE,AZ
37144,SACRED HEART HOME CARE INC,AZ
37146,MOHAVE HOME HEALTH,AZ
37154,NNI HOME CARE SERVICES,AZ
37162,NURSING SOLUTIONS,AZ
37178,HORIZON HOME HEALTH LC,AZ
37179,COPPER VALLEY HOME HEALTH,AZ
37185,BAYADA HOME HEALTH CARE INC.,AZ
37188,NIGHTINGALE HOMECARE,AZ
37192,AMEDISYS HOME HEALTH,AZ
37199,ARIZONA HOME CARE,AZ
37202,THEMA HEALTH SERVICES,AZ
37204,EPIC HEALTH SERVICES,AZ
37205,NURSECORE OF PHOENIX,AZ
37206,NURSING SOLUTIONS OF SOUTHERN ARIZONA,AZ
37212,HEALTH AT HOME,AZ
37213,BAYADA HOME HEALTH CARE INC,AZ
37215,AT HOME HEALTHCARE,AZ
37216,PROFESSIONAL HOME CARE SERVICES,AZ
37217,ANGELS CARE HOME HEALTH OF ARIZONA,AZ
37219,HERITAGE HOME HEALTHCARE OF ARIZONA INC,AZ
37220,ASSISTED HEALTHCARE SERVICES,AZ
37221,AT HOME HEALTHCARE,AZ
37224,LOS NINOS HOSPITAL INNOVATIVE HOME HEALTH CARE,AZ
37226,SUNRISE HEALTH SERVICES,AZ
37227,PHOENIX HOME HEALTH NURSING SERVICES INC,AZ
37228,MAXIM HEALTHCARE SERVICES INC. - TUCSON,AZ
37229,MAXICARE HOME HEALTH INC,AZ
37230,VICTORY HOME CARE AGENCY,AZ
37231,SUPREME HOME CARE INC.,AZ
37232,AMERICAN PREMIER HOME HEALTH CARE,AZ
37233,HORIZON HOME HEALTH OF PHOENIX,AZ
37234,TEAM SELECT HOME CARE,AZ
37235,FIRSTAT HOME HEALTH SERVICES LLC,AZ
37237,COZY HOME HEALTH CARE,AZ
37239,HAGGAI HEALTHCARE CORP,AZ
37242,MAXIM HEALTHCARE SERVICES INC. - WEST PHOENIX,AZ
37243,MGA HOME HEALTHCARE-PHOENIX,AZ
37244,KC'S HOME HEALTH CARE LLC,AZ
37245,VALLEY HOME CARE LLC,AZ
37246,INTEGRITY HOME HEALTH CARE SERVICES LLC,AZ
37247,GOOD SAMARITAN SOCIETY- LEGACY HOME CARE,AZ
37248,AMEDISYS HOME HLTH CARE A TUCSON MED CTR PARTNER,AZ
37249,QUALITY HOME HEALTH CARE,AZ
37250,MERIDIAN HEALTH CARE PROVIDERS INC.,AZ
37251,ASPIRE HOME HEALTHCARE OF ARIZONA INC.,AZ
37252,ANGELS CARE HOME HEALTH,AZ
37253,EMBLEM HOME HEALTH,AZ
37254,ATLANTIC HOME HEALTH CARE LLC,AZ
37256,BROOKDALE HOME HEALTH TUCSON,AZ
37257,CELEBRITY HOME HEALTH & HOSPICE,AZ
37258,BROOKDALE HOME HEALTH,AZ
37260,AHC HOME HEALTH OF ARIZONA LLC,AZ
37261,CARE PARTNERS HEALTH SERVICES INC,AZ
37262,ASSISTEO HOME HEALTH,AZ
37263,OASIS HOME HEALTH CARE LLC,AZ
37264,HUALAPAI HOME HEALTH CARE INC,AZ
37265,BEATITUDES HOME HEALTH,AZ
37268,PRINCE OF PEACE HOME HEALTHCARE LLC,AZ
37269,ACACIA HOME HEALTH INC,AZ
37271,SANTE HOME HEALTH AND REHABILITATION SERVICES,AZ
37272,SANCTUARY HOME HEALTH,AZ
37273,GRACE HOME HEALTH CARE,AZ
37274,PRESTIGE HOME HEALTH CARE,AZ
37275,ALL N ONE HOME HEALTH AGENCY,AZ
37278,VITAL WELLNESS HOME HEALTH,AZ
37279,MGA HOME HEALTHCARE -TUCSON,AZ
37280,ADVANTAGE HOME HEALTH,AZ
37281,GUARDIAN ANGEL HOME CARE INC,AZ
37282,SUNLIFE HOME HEALTH LLC,AZ
37283,SOUTHLAND HOME HEALTH,AZ
37285,ALPHA HEALTHCARE LLC,AZ
37286,DEPENDABLE NURSES OF PHOENIX,AZ
37288,RELIABLE NURSES LLC,AZ
37290,ZION'S WAY HOME HEALTH,AZ
37291,HOPE HEALTHCARE LLC,AZ
37292,DESERT TRAILS HOME HEALTH,AZ
37294,LEGACY HOME HEALTH CARE,AZ
37295,ST. ELIZABETH HOME HEALTH INC.,AZ
37297,RIVER VALLEY HOME HEALTH,AZ
