CertificationNO,Provider Name,State
157000,VISITING NURSE AND HOSPICE HOME INC,IN
157004,DEACONESS VNA,IN
157005,SAINT JOSEPH VNA HOME CARE,IN
157008,VISITING NURSE SERVICE,IN
157011,INDIANA UNIVERSITY HEALTH HOME CARE,IN
157015,VISITING NURSE ASSOCIATION OF THE WABASH VALLEY IN,IN
157022,INDIANA UNIVERSITY HEALTH LA PORTE VNA SERVICES,IN
157034,PORTER HOME HEALTH,IN
157046,COMMUNITY HOME HEALTH,IN
157048,INTERIM HEALTHCARE OF SOUTH BEND,IN
157050,KOSCIUSKO HOME CARE & HOSPICE INC,IN
157051,HOOSIER UPLANDS HOME HEALTH CARE,IN
157054,B & B INTERIM HEALTHCARE SERVICES INC,IN
157055,DEARBORN COUNTY HOSPITAL HOME HEALTH & HOSPICE,IN
157059,ST VINCENT HOME HEALTH - ANDERSON,IN
157061,WABASH MIAMI HOME HEALTH CARE &  HOSPICE,IN
157067,CENTER FOR HOSPICE AND PALLIATIVE CARE INC THE,IN
157077,AMERICAN NURSING CARE INC,IN
157078,PULASKI MEMORIAL HOME HEALTH &  HOSPICE,IN
157081,ACME HEALTH SERVICE INC,IN
157083,ST VINCENT HOME HEALTH - INDIANAPOLIS,IN
157090,HERITAGE HOME HEALTH SERVICES LLC,IN
157092,SUBURBAN HOME HEALTH LLC,IN
157094,INDIANA HOME HEALTH CARE CORPORATION,IN
157095,BEACON HOME CARE HHA SB,IN
157097,FAYETTE REGIONAL HEALTH SYSTEM HOME HEALTH,IN
157113,INDIANA HOME CARE PLUS,IN
157115,KINDRED AT HOME,IN
157116,RESIDENTIAL CLINICAL SERVICES INC,IN
157117,CAMERON HOME HEALTH CARE &  HOSPICE,IN
157124,ST ELIZABETH HOME HEALTH CARE,IN
157141,KING'S DAUGHTERS' HEALTH,IN
157143,MARGARET MARY COMMUNITY HOSPITAL HOME CARE,IN
157145,ST MARGARET HOME CARE,IN
157148,GREENE COUNTY HOME HEALTH CARE,IN
157149,FRANCISCAN HOME HEALTH CARE,IN
157152,FLOYD MEMORIAL HOME HEALTH CARE,IN
157153,DECATUR COUNTY MEMORIAL HOSPITAL HOME HEALTH CARE,IN
157155,SCHNECK MEDICAL CENTER HOME HEALTH CARE,IN
157157,DEKALB HEALTH HOME CARE,IN
157158,INDIANA UNIVERSITY HEALTH HOME CARE,IN
157163,ANCHOR HOME HEALTH CARE,IN
157168,AMERICARE HOME HEALTH SERVICES,IN
157172,FAMILY HOME CARE,IN
157174,IU HEALTH GOSHEN HOME CARE AND HOSPICE,IN
157177,PERRY COUNTY MEMORIAL HOSPITAL HOME CARE SERVICES,IN
157179,ST FRANCIS HOME HEALTH AND HOSPICE,IN
157180,KINDRED AT HOME,IN
157187,PHYSICIANS HOMECARE INC,IN
157197,PEDIATRIC NURSING SPECIALISTS OF INDIANA,IN
157200,ANGELS OF MERCY HOMECARE,IN
157205,HEARTLAND HOME CARE,IN
157211,HOME NURSING SERVICES,IN
157213,INTREPID USA HEALTHCARE SERVICES,IN
157214,NURSE AND MORE INC,IN
157217,GOOD SAMARITAN HOME CARE SERVICES OF VINCENNES IN,IN
157221,AMEDISYS HOME HEALTH,IN
157222,MEMORIAL HOME CARE,IN
157223,VIAQUEST HOME HEALTH OF INDIANA LLC,IN
157230,CAREGIVERS INC,IN
157231,REID-ANC HOME CARE SERVICES LLC,IN
157240,CLINICAL HOME HEALTH CARE,IN
