CertificationNO,Provider Name,State
217008,VISITING NURSE ASSOCIATION OF MD LLC,MD
217027,BALTIMORE COUNTY COMMUNITY HEALTH SERVICES HHA,MD
217030,HOLY CROSS HOME CARE AND HOSPICE,MD
217031,WESTERN MARYLAND HEALTH SYSTEM HOME CARE,MD
217032,ADVENTIST HOME HEALTH SERVICES,MD
217034,FREDERICK MEMORIAL HOSP HHA,MD
217036,PHR OF BALTIMORE INC,MD
217040,HOME CALL - FREDERICK,MD
217045,AMEDISYS HOME HEALTH OF BALTIMORE,MD
217047,REVIVAL HOMECARE AGENCY,MD
217048,AMEDISYS HOME HEALTH,MD
217058,PERSONAL TOUCH HOME CARE OF BA,MD
217066,HOMECALL,MD
217068,MEDSTAR HEALTH VNA,MD
217071,GENTIVA CERTIFIED HEALTHCARE,MD
217072,STELLA MARIS INC,MD
217079,PENINSULA HOME CARE LLC,MD
217081,JOHNS HOPKINS HOME CARE GROUP,MD
217084,POTOMAC HOME HEALTH CARE,MD
217085,MERITUS HOME HEALTH,MD
217094,AMEDISYS HOME HEALTH,MD
217101,BAYADA HOME HEALTH INC,MD
217107,HOMECARE MARYLAND,MD
217108,AMEDISYS HOME HEALTH OF MARYLAND,MD
217111,AMEDISYS HOME HEALTH,MD
217115,HOME CALL INC WESTMINSTER,MD
217120,PROFESSIONAL HEALTHCARE,MD
217121,COMMUNITY HOME HEALTH OF MD,MD
217123,HOME CALL OF BALTIMORE,MD
217131,JOHNS HOPKINS PEDS AT HOME,MD
217134,P-B  HEALTH HOME CARE,MD
217136,HEALTH AT HOME,MD
217137,CHARLESTOWN HOME HEALTH AGENCY,MD
217138,CHESAPEAKE POTOMAC HOME HEALTH AGENCY,MD
217139,SHORE HOME CARE,MD
217142,CHESTER RIVER HOME CARE AND HOSPICE LLC,MD
217149,AMEDISYS HOME HEALTH CARE,MD
217150,MEDSTAR HEALTH VNA INC,MD
217151,AMEDISYS HOME HEALTH,MD
217152,AMERICARE IN HOME NURSING,MD
217153,SPIRITRUST LUTHERAN HOME CARE & HOSPICE,MD
217154,PROFESSIONAL HEALTHCARE RESOURCES OF MARYLAND INC,MD
217155,OAK CREST VILLAGE,MD
217156,RIDERWOOD INC,MD
217157,ENCOMPASS HOME HEALTH OF MARYLAND,MD
217158,BAYADA HOME HEALTH CARE LLC,MD
217159,ASBURY HOME SERVICES,MD
217160,CELTIC HEALTHCARE OF MARYLAND,MD
217161,HOMECENTRIS HOME HEALTH LLC,MD
217162,CELTIC HEALTHCARE,MD
217163,COMPREHENSIVE HOME HEALTH CARE AGENCY,MD
217164,COMPREHENSIVE HOME HEALTH SERVICES,MD
217809,GARRETT CNTY HLTH DEPT,MD
