CertificationNO,Provider Name,State
267002,VISITING NURSE ASSOCIATION,MO
267003,RALLS COUNTY HOME HEALTH AGENCY,MO
267019,SHANNON COUNTY HOME HEALTH AGENCY,MO
267025,CLARK COUNTY HOME HEALTH AGENCY,MO
267032,HOMETOWN HOMECARE,MO
267035,NEVADA REGIONAL MEDICAL CENTER HOME HEALTH,MO
267036,SSM HEALTH AT HOME HOME HEALTH- AUDRAIN,MO
267037,PIKE COUNTY HEALTH DEPT/HOME HEALTH & HOSPICE,MO
267047,BOONE HOSPITAL HOME CARE & HOSPICE,MO
267049,MERCY HOME HEALTH,MO
267050,VISITING NURSE ASSN OF SOUTHEAST MISSOURI INC,MO
267051,MONROE COUNTY HEALTH DEPT AND HOME HEALTH AG,MO
267053,MERCY HOME HEALTH,MO
267056,VILLAGE HOME HEALTH,MO
267057,PULASKI COUNTY HOME HEALTH AGENCY,MO
267058,JOHNSON COUNTY COMMUNITY HEALTH SERVICES,MO
267062,SERVE LINK HOME CARE INC,MO
267064,MOSAIC LIFE CARE HOME HEALTH,MO
267065,SSM HEALTH AT HOME HOME HEALTH-MARYVILLE,MO
267067,CEDAR COUNTY MEMORIAL HOSPITAL HOME HEALTH AGENCY,MO
267068,SAC OSAGE HOME HEALTH CARE INC,MO
267069,FITZGIBBON COMMUNITY HOME HEALTH,MO
267070,SCOTLAND COUNTY HOME HEALTH AGENCY,MO
267078,CARTER COUNTY HOME HEALTH AGENCY,MO
267086,RANDOLPH COUNTY HEALTH DEPARTMENT,MO
267087,OXFORD HEALTHCARE HOME HEALTH AGENCY,MO
267091,LIBERTY HOSPITAL HOME HEALTH,MO
267093,MONTGOMERY COUNTY HEALTH DEPARTMENT,MO
267097,HOMECARE OF MID MISSOURI INC,MO
267098,KINDRED AT HOME,MO
267106,BARTON COUNTY HEALTH DEPARTMENT HOME HEALTH AGENCY,MO
267121,SOUTHEAST HOME HEALTH,MO
267125,KNOX COUNTY HEALTH DEPARTMENT HOME HEALTH AGENCY,MO
267127,LEWIS COUNTY HOME HEALTH AGENCY,MO
267140,CAMERON REGIONAL MEDICAL CENTER HOME HEALTH AGENCY,MO
267149,SCHUYLER COUNTY HEALTH DEPART HOME HEALTH AGENCY,MO
267151,AMEDISYS HOME HEALTH OF MISSOURI,MO
267154,RAY COUNTY MEMORIAL HOSPITAL HOME HEALTH,MO
267160,FREEMAN HOME CARE SERVICES,MO
267161,EXCELSIOR SPRINGS HOSPITAL HOME HEALTH/HOSPICE,MO
267163,SOUTHEAST HOME HEALTH OF DEXTER,MO
267168,INTREPID USA HEALTHCARE SERVICES,MO
267178,NORTHWEST MEDICAL CENTER HOME HEALTH AGENCY,MO
267182,GOLDEN VALLEY MEMORIAL HEALTHCARE HOME SERVICES,MO
267184,SSM HEALTH AT HOME HOME HEALTH-ST LOUIS,MO
267185,HOME HEALTH OF THE OZARKS,MO
267186,RIVERWAYS HOME CARE OF OZARKS MEDICAL CENTER,MO
267191,ADAIR COUNTY HEALTH DEPARTMENT/ HOME HEALTH AGENCY,MO
267195,SLH HOME CARE AND HOSPICE,MO
267196,CITIZENS MEMORIAL HOME HEALTH,MO
267206,CARROLL CO MEM HOSPITAL HOME HEALTH CARE AGENCY,MO
267216,STE GENEVIEVE CO MEMORIAL HOSP HOME HEALTH AGENCY,MO
267217,MERCY HOME HEALTH,MO
267218,HERMANN AREA DISTRICT HOSPITAL HOME HEALTH AGENCY,MO
267219,CAPITAL REGION HOME HEALTH,MO
267223,BENTON COUNTY HEALTH DEPARTMENT HOME HEALTH AGENCY,MO
267246,SALEM MEMORIAL DISTRICT HOSP HOME HEALTH AGENCY,MO
267247,PERRY COUNTY MEMORIAL HOSPITAL HOME HEALTH CARE,MO
267250,BENDERS HOME CARE INC,MO
267253,ST ANTHONYS HOME CARE,MO
267258,SOUTHEAST HEALTH CENTER OF RIPLEY CO HHA,MO
267263,MADISON MEDICAL CENTER HOME HEALTH AGENCY,MO
267264,KANSAS CITY PALLIATIVE HOME CARE,MO
267269,CARING NURSES HOME HEALTH AGENCY INC,MO
267270,AMEDISYS HOME HEALTH OF MISSOURI,MO
267276,BJC HOME CARE SERVICES,MO
267282,HANNIBAL REGIONAL HOSPITAL HOME HEALTH AGENCY,MO
267290,KINDRED AT HOME,MO
267296,NORTHEAST REGIONAL HOME HEALTH,MO
267402,NURSES & COMPANY HOME HEALTH CARE,MO
267409,LAKE REGIONAL HOME HEALTH,MO
267413,COMMUNITY HOSPITAL HOME HEALTH AGENCY,MO
267426,ALGONQUIN NURSES HOME HEALTH CARE INC,MO
267431,DELMAR GARDENS HOME CARE INC,MO
267448,SSM HEALTH AT HOME HOME HEALTH - JEFFERSON CITY,MO
267453,RIMS HEALTH CARE INC,MO
267459,HEALTHBACK HOME HEALTH OF SPRINGFIELD,MO
267462,NORTH KANSAS CITY HOSPITAL HOME HEALTH SERVICES,MO
267477,COURIER HEALTHCARE SYSTEMS INC,MO
267499,MISSOURI DELTA HOME HEALTH,MO
267502,ACCESS HOME HEALTH AGENCY,MO
267505,WESTWOOD HOME HEALTH,MO
267511,JENNIFER'S HOME HEALTH AGENCY INC,MO
267513,TRIPLE A HOME CARE AGENCY INC,MO
267514,LUTHERAN HOME/HOME HEALTH,MO
267515,SAINT FRANCIS HOME HEALTH,MO
267518,MEDERI CARETENDERS,MO
267522,COMFORT CARE HOME HEALTH AGENCY INC,MO
267525,ADVANCE MEDICAL SERVICES INC,MO
267529,THOMAS NURSING SERVICES INC,MO
267530,ST LOUIS HOME HEALTH,MO
267535,FIRST CHOICE HOME HEALTH SERVICES INC,MO
267539,HEALTHBACK HOME HEALTH OF MISSOURI INC,MO
267543,LUTHERAN SENIOR SERVICES HOME HEALTH,MO
267548,EXTENDED FAMILY HOME HEALTH INC,MO
267555,PHELPS REGIONAL HOMECARE,MO
267560,HOME HEALTH OF HARRISON COUNTY HOSPITAL,MO
267561,ST LUKE'S HOME HEALTH SERVICES,MO
267562,COOPERATIVE HOME CARE INC,MO
267564,OXFORD HEALTHCARE OF MID-MISSOURI,MO
267565,MERCY HOME HEALTH,MO
267568,REGIONAL HOME CARE INC,MO
267571,EPIC HEALTH SERVICES,MO
267572,MEDI-PLEX HEALTH PROFESSIONALS LLC,MO
267576,INTEGRITY HOME CARE,MO
267579,ALTERNATIVE HOME HEALTH CARE,MO
267580,APOLLO MEDICAL INC,MO
267581,INTEGRITY HOME CARE,MO
267582,MED-STAFF HOME HEALTH LLC,MO
267583,RN4KIDS INC,MO
267584,KINDRED AT HOME,MO
267585,AW HEALTH CARE,MO
267589,PYRAMID HOME HEALTH SERVICES,MO
267590,INTERSTAFF INC,MO
267592,PYRAMID HOME HEALTH SERVICES,MO
267594,PATIENT CARE PROFESSIONALS INC,MO
267595,PYRAMID HOME HEALTH SERVICES,MO
267597,PHOENIX HOME CARE,MO
267599,HEALTH AT HOME,MO
267600,PYRAMID HOME HEALTH SERVICES,MO
267602,NHC HOMECARE ST LOUIS,MO
267603,BROOKDALE HOME HEALTH ST LOUIS,MO
267604,ANGELS OF MERCY HEALTHCARE INC,MO
267605,BETHLEHEM HOME HEALTH CARE INC,MO
267606,AMEDISYS HOME HEALTH OF MISSOURI,MO
267607,AMEDISYS HOME HEALTH OF MISSOURI,MO
267609,BROOKDALE HOME HEALTH MISSOURI,MO
267611,LIFE FOUNTAIN HEALTH CARE INC,MO
267612,PREMIERE HOME HEALTH,MO
267613,ST ANDREWS & BETHESDA HOME HEALTH,MO
267614,ANGELS HOME HEALTH,MO
267618,CHILDREN'S MERCY HOME CARE,MO
267619,MED PLUS HEALTHCARE,MO
267620,BLESSED HEALTH AND HOME CARE LLC,MO
267621,TLC HOME HEALTH CARE LLC,MO
267622,GENERATIONS HOME HEALTH AGENCY LLC,MO
267623,AMEDISYS HOME HEALTH OF MISSOURI,MO
267624,CLAYVIEW HOME HEALTH SERVICES INC,MO
267626,CRESCENT HOME HEALTH AGENCY LLC,MO
267627,HELP AT HOME LLC,MO
267628,QUALITY HOME HEALTH CARE LLC,MO
267629,PHOENIX HOME CARE INC,MO
267630,CAMPBELL HOME HEALTH AGENCY,MO
267631,HOME HEALTH PROFESSIONALS INC,MO
267632,CARING HEARTS HOME CARE INC,MO
267633,ORTHOPAEDIC AND MEDICAL HOME HEALTH LLC,MO
267634,SUNRISE HOME CARE LLC,MO
267637,MED PLUS HEALTHCARE,MO
267638,HAVEN HOME HEALTH & THERAPY,MO
267639,GENTIVA HEALTH SERVICES,MO
267640,VITA LLC,MO
267641,EXCELCARE HOME HEALTH SERVICES LLC,MO
267642,ALPINE HOME HEALTH AGENCY INC,MO
267643,PINNACLE SENIOR CARE,MO
267644,FREUDENTHAL HOME HEALTH,MO
267646,GRACE RELIANT HEALTH SERVICES LLC,MO
267647,SUMMIT HEALTH CARE LLC,MO
267648,HOME ASSIST LLC,MO
267649,PHOENIX HOME CARE,MO
267650,PHOENIX HOME CARE,MO
267652,MHS-HH CARE LLC,MO
267653,SPECIALIZED HOME CARE,MO
267654,SEMO REGIONAL HOME CARE LLC,MO
267655,MISSOURI HOME HEALTH LLC,MO
267656,ENVISION HOME HEALTH,MO
267657,DIVERSITY HOME HEALTHCARE LLC,MO
267658,COMPASSIONATE HEALTH CARE INC,MO
