CertificationNO,Provider Name,State
347001,LIBERTY HOME CARE,NC
347002,WELL CARE HOME HEALTH,NC
347004,HOME HEALTH AND HOSPICE OF HAL,NC
347005,ADVANCED HOME CARE,NC
347007,HOME HEALTH OF RANDOLPH HOSPITAL,NC
347008,ROANOKE HOME CARE HOSPICE,NC
347009,INTREPID USA HEALTHCARE SERVICES,NC
347011,BROOKDALE HOME HEALTH RALEIGH,NC
347013,HEALTHY AT HOME - CLEVELAND COUNTY HEALTHCARE SYST,NC
347014,GOOD SHEPHERD HOME HEALTH AND HOSPICE AGENCY,NC
347015,PRUITTHEALTH HOME HEALTH,NC
347017,ALBEMARLE HOME CARE AND HOSPICE,NC
347019,WILSON COUNTY HOME HEALTH,NC
347020,MEDI HOME HEALTH AND HOSPICE,NC
347021,BAYADA NURSES INC,NC
347024,LIBERTY HOME CARE,NC
347026,PRUITTHEALTH HOME HEALTH  NEW BERN,NC
347028,PARDEE HOME CARE,NC
347029,HARRIS HOME HEALTH,NC
347030,AMEDISYS HOME HEALTH OF CHAPEL,NC
347031,GENTIVA HEALTH SERVICES,NC
347033,MOUNTAIN HOME HEALTH SERVICES,NC
347035,HOME CARE SERVICES OF HAYWOOD REGIONAL MEDICAL CT,NC
347036,HEALTHKEEPERZ,NC
347037,CAREPARTNERS HOME CARE & HOSPICE,NC
347039,MADISON HOME CARE,NC
347041,FIRST HEALTH HOME CARE - RICHM,NC
347042,CARTERET HOME HEALTH SERVICES,NC
347043,WAKE FOREST BAPTIST HEALTH  CARE AT HOME LLC,NC
347044,CARESOUTH HOME CARE PROFESSIONALS,NC
347049,HERTFORD-GATES HOME HEALTH AGENCY,NC
347050,BERTIE COUNTY HOME HEALTH,NC
347051,WELL CARE HOME HEALTH INC,NC
347052,GENTIVA HEALTH SERVICES,NC
347053,GENTIVA HEALTH SERVICES,NC
347054,GENTIVA HEALTH SERVICES,NC
347055,ANGEL HOME CARE AND HOSPICE,NC
347056,NASH COUNTY HOME HEALTH AGENCY,NC
347059,IREDELL HOME HEALTH,NC
347061,HEALTHKEEPERZ,NC
347062,GRANVILLE VANCE HOME HEALTH AG,NC
347063,VIDANT HOME HEALTH AND HOSPICE,NC
347064,SAMPSON HOME HEALTH,NC
347065,NHRMC HOME CARE,NC
347068,FRANKLIN COUNTY HOME HEALTH AG,NC
347069,HOME HEALTH  HOSPICE PERSON,NC
347070,ONSLOW COUNTY HOME HLTH & HOSP,NC
347071,STANLY COUNTY HOME HEALTH AGEN,NC
347074,DARE HOME HEALTH  AND DARE HOSPICE,NC
347075,GENTIVA HEALTH SERVICES,NC
347079,ADVANCED HOME CARE INC,NC
347080,YADKIN VALLEY HOME HEALT,NC
347081,NORTHAMPTON CO. HHA,NC
347083,CAREPARTNERS HOME HEALTH SERVICES,NC
347084,COLUMBUS COUNTY HOME HEALTH,NC
347085,GUARDIAN HEALTH SERVICES LLC,NC
347086,ROBESON COUNTY HOME HEALTH AGE,NC
347087,BAYADA HOME HEALTH CARE INC,NC
347089,HARNETT COUNTY HOME HEALTH AGE,NC
347090,PIONEER HOME HEALTH OF STOKES COUNTY LLC,NC
347091,GENTIVA HEALTH SERVICES,NC
347094,AMEDISYS HOME HEALTH CARE,NC
347096,HYDELAND HOME CARE AGENCY,NC
347097,BLADEN COUNTY HOME HEALTH AGEN,NC
347098,BROOKDALE HOME HEALTH CHARLOTTE,NC
347099,AMEDISYS HOME HEALTH CARE,NC
347100,PRUITTHEALTH HOME HEALTH - AVERY,NC
347101,CHEROKEE HOME HEALTH AGENCY,NC
347102,ALEXANDER COUNTY HOME HEALTH A,NC
347104,HOME HEALTH AND HOSPICE CARE,NC
347105,JOHNSTON HEALTH HOME CARE AND HOSPICE,NC
347106,WAKE FOREST BAPTIST HEALTH CARE AT HOME LLC,NC
347110,AMEDISYS HOME HEALTH,NC
347112,HEALTHY AT HOME CAROLINAS MEDICAL CENTER,NC
347113,HEALTHY AT HOME - ALBEMARLE,NC
347114,ADVANCED HOME CARE,NC
347116,ADVANCED HOME CARE,NC
347118,SOUTHEASTERN HOME HEALTH,NC
347119,WARREN COUNTY HOME HEALTH AGEN,NC
347120,BROOKDALE HOME HEALTH  WINSTON,NC
347121,ADVANCED HOME CARE,NC
347122,ADVANCED HOME CARE,NC
