CertificationNO,Provider Name,State
287001,BEATRICE COMMUNITY HOSPITAL HOME CARE,NE
287002,TABITHA HOME HEALTH CARE,NE
287003,VISITING NURSE ASSN. OF THE MIDLANDS,NE
287004,REGIONAL WEST MEDICAL CENTER HOME CARE,NE
287005,CHI HEALTH AT HOME - GRAND ISLAND,NE
287008,CENTRAL PLAINS HOME HEALTH,NE
287009,HOME HEALTH SERVICES OF MARY LANNING MEM HEALTHCAR,NE
287015,MCH & HS HOME HEALTH CARE,NE
287016,FREMONT HEALTH HOME CARE,NE
287019,CHI HEALTH AT HOME - OMAHA,NE
287020,GREAT PLAINS HEALTH HOME HEALTH & HOSPICE,NE
287026,HOME HEALTH OF COLUMBUS COMMUNITY HOSPITAL,NE
287027,INTERIM HEALTHCARE OF OMAHA,NE
287028,ST. JOSEPH VILLA HOMECARE & HOSPICE,NE
287036,IN HOME HEALTH CARE INC.,NE
287037,JEFFERSON COMMUNITY HEALTH CENTER INC,NE
287038,KINDRED AT HOME,NE
287039,AVERA AT HOME DBA AVERA@HOME,NE
287040,ANTELOPE MEMORIAL HOSPITAL HOME HEALTH CARE,NE
287041,SIDNEY REGIONAL MEDICAL CENTER HOME HEALTH,NE
287050,CHI HEALTH AT HOME - LINCOLN,NE
287052,CHADRON COMMUNITY HOSPITAL AND HEALTH SERVICES,NE
287053,HOSPICE AND HOME HEALTHCARE OF SAUNDERS COUNTY,NE
287055,VCHS HOME HEALTH,NE
287056,BOONE COUNTY HEALTH CENTER HOME HEALTH,NE
287057,COMMUNITY HEALTH SERVICES,NE
287059,CHERRY CO HOSPITAL HOME HEALTH,NE
287060,KINDRED AT HOME,NE
287061,MORRILL COUNTY COMM HOSP  HOME HEALTH AGENC,NE
287062,INTERIM HEALTHCARE,NE
287063,CHILDREN'S HOME HEALTHCARE,NE
287071,AVERA AT HOME DBA AVERA@HOME,NE
287072,GOOD SAMARITAN SOCIETY - OMAHA METRO HOME CARE,NE
287073,JOHNSON CO HOSPITAL HOME HEALTH SERVICES,NE
287075,ST. FRANCIS HOME HEALTH CARE,NE
287076,HI-LINE HOME HEALTH,NE
287086,LEXINGTON REGIONAL HEALTH CENTER HOME HEALTH,NE
287087,RURALMED HOME CARE RESOURCES,NE
287089,FAITH REGIONAL HOME HEALTH SER,NE
287090,FIRSTCARE HOME HEALTH OF EASTERN NEBRASKA,NE
287095,PROVIDENCE MEDICAL CENTER HOME HEALTH,NE
287101,YORK GENERAL HOSP HOME HEALTH,NE
287104,GOOD SAM SOC - HASTINGS VILLAGE HOME HEALTH,NE
287106,COMMUNITY HEALTHCARE AND HOSPICE,NE
287109,INFUSCIENCE,NE
287110,CHI HEALTH HEALTH AT HOME PLAINVIEW,NE
287112,BROWN COUNTY HOSPITAL HOME HEALTH,NE
287114,VITALCARE HOME HEALTH,NE
287115,GOOD SAMARITAN SOCIETY HOME CARE OF SOUTHEAST NE,NE
287118,HEARTLAND HOME HEALTH,NE
287120,NEMAHA COUNTY HOME CARE,NE
287122,ELITE PROFESSIONALS HOME CARE COMPANY,NE
287123,PRIME HOME CARE,NE
287124,AMAKES QUALITY HOME CARE INC,NE
287125,PHYSMED INC,NE
287126,HOME NURSING WITH HEART,NE
287128,PHYSICIANS CHOICE HOME HEALTH CARE,NE
287129,EVANGELICAL LUTHERAN GSS HOME CARE OF CENTRAL NE,NE
287130,IFY'S HOME HEALTH CARE,NE
287131,RECOVER HEALTH,NE
287132,MIDWEST HOME HEALTH INC. DBA ANGELS CARE HOME HEA,NE
287133,HILLCREST HOME CARE,NE
287135,WILLINGHAM HEALTH SERVICES HOME CARE LLC,NE
287136,NEBRASKA HOME HEALTH CARE LLC,NE
287137,AMBI'S HOME HEALTH CARE LLC,NE
287139,ZUTAN HOME HEALTHCARE INCORPORATED,NE
287140,MAXIM HEALTHCARE SERVICES INC,NE
287142,COMPER CARE REHAB INC,NE
287143,MIDLAND MODESTY HOME HEALTHCARE,NE
287144,PROGRESSIVE HOME HEALTH & HOSPICE LLC,NE
287145,FREEDOM IN HOME SERVICES LLC,NE
287146,FIDELITY HOME HEALTH CARE LLC,NE
287147,PERSONAL HEALTH CARE SERVICES LLC,NE
287148,FLEXCARE SOLUTIONS LLC,NE
287149,OMAHA CAREONE CAREGIVERS LLC,NE
