CertificationNO,Provider Name,State
327008,PRESBYTERIAN HOME HEALTHCARE,NM
327009,LOS ALAMOS VISITING NURSE SERVICE INC,NM
327010,MOUNTAIN HOME HEALTH CARE INC,NM
327015,ALAMOGORDO HOME HEALTH CARE & HOSPICE INC,NM
327022,ZUNI HOME HEALTH CARE AGENCY INC,NM
327025,SAN JUAN HOME HEALTH CARE,NM
327027,SOCORRO GENERAL HOSPITAL HOME HEALTH CARE,NM
327029,TUCUMCARI HOME HEALTH,NM
327033,ALPHA NURSES,NM
327070,GENTIVA HEALTH SERVICES,NM
327071,MVCH SERV CARIDAD DE SAN ANTONIO,NM
327072,GOLDEN SERVICES LTD,NM
327086,ESPERANZA HOME HEALTH CARE/HOSPICE,NM
327088,DEL & ASSOCIATES NURSING SERVICE,NM
327089,PMS COMMUNITY HOME HEALTH CARE,NM
327100,INTERIM HEALTHCARE OF HOBBS,NM
327104,BASIN HOME HEALTH INC,NM
327108,PROFESSIONAL HOME HEALTH CARE INC,NM
327110,MIMBRES VALLEY HOME HEALTH,NM
327113,VICTORY HOME HEALTH PALLIATIVE WAIVER SERVICES INC,NM
327118,BAYADA HOME HEALTH CARE INC,NM
327120,HERITAGE HOME HEALTHCARE & HOSPICE INC,NM
327123,AMBERCARE HOME HEALTH,NM
327124,CLAYTON HOSPITAL HOME CARE,NM
327126,HOME KARE INC OF DONA ANA,NM
327133,AMBERCARE HOME HEALTH,NM
327136,J & J HOME CARE INC.,NM
327140,COMMUNITY HOMECARE,NM
327145,SOUTHWESTERN HOME HEALTH CARE INC,NM
327148,ENCOMPASS HOME HEALTH OF NEW MEXICO,NM
327152,HORIZON HOME HEALTH SERVICES INC,NM
327157,GOOD SAMARITAN SOCIETY HOME CARE,NM
327161,LAKEVIEW CHRISTIAN HOME HEALTH,NM
327164,ESPANOLA HOSPITAL HOME HEALTH,NM
327168,ADVANCED HOME CARE OF ROSWELL,NM
327172,ENCOMPASS HOME HEALTH OF NEW MEXICO,NM
327178,ENCOMPASS HOME HEALTH OF NEW MEXICO,NM
327179,GOOD SAMARITAN SOCIETY - MANZANO DEL SOL HOME CARE,NM
327180,SIERRA HEALTH CARE CENTER,NM
327181,FRONTIER MEDICAL HOME CARE  INC,NM
327182,GENTIVA HEALTH SERVICES,NM
327184,GUARDIAN ANGELS HOME HEALTH INC,NM
327185,ENCOMPASS HOME HEALTH OF NEW MEXICO,NM
327186,ONPOINTE AT HOME,NM
327187,HARMONY HOME HEALTH SERVICES LLC,NM
327188,ALLIANCE HOME HEALTH CARE LLC,NM
327189,STAR CARE HOME HEALTH,NM
327190,INTERIM HEALTHCARE,NM
327191,INTERIM HEALTHCARE,NM
327192,ALTO MAR NEW MEXICO LLC,NM
327194,ACCESS HOME HEALTH LLC,NM
327195,NM CUIDADO CASERO HOME HEALTH LLC,NM
327197,QUANTUM HOMECARE OF NEW MEXICO,NM
327198,ELITE HOME HEALTH LLC,NM
327199,ENCOMPASS HOME HEALTH OF NEW MEXICO,NM
327200,COMPASSUS HOME HEALTH ALBUQUERQUE NM,NM
327201,BROOKDALE HOME HEALTH ALBUQUERQUE,NM
327202,MATRIX HOME CARE SERVICES OF NM,NM
327204,HORIZON HOME HEALTH INC,NM
327208,ARM HEALTHCARE LLC D/B/A TENDER CARE HOME HEALTH,NM
327209,TLC HOME HEALTH CARE LLC,NM
327210,ACCOLADE HOME CARE,NM
327211,LEGACY HEALTHCARE INC,NM
327212,MOUNTAIN VIEW REGIONAL HOME HEALTH,NM
327213,KLARUS HOME CARE LLC,NM
327216,AHC HOME HEALTH OF NEW MEXICO LLC,NM
327217,HERITAGE HEALTHCARE OF NORTHERN NEW MEXICO INC,NM
327218,INTERIM HEALTHCARE,NM
327219,SANTA FE HOME CARE OF NEW MEXICO,NM
327220,EVANGEL HOMECARE SERVICES INC,NM
327221,MEDISOURCE HOME HEALTH SERVICES,NM
327222,LAS CRUCES HOME CARE,NM
327223,MI CASA HOME HEALTH CARE LLC,NM
327224,LUNA VISTA HOME HEALTHCARE LLC,NM
327305,PLAINS REGIONAL MEDICAL CENTER HOME HEALTH CARE,NM
327313,REHOBOTH MCKINLEY CHRISTIAN HOME CARE SERVICES,NM
