CertificationNO,Provider Name,State
297002,HOME HEALTH SERVICES OF NEVADA,NV
297008,SAINT MARY'S HOME CARE SERVICES,NV
297015,RENOWN HEALTH HOME CARE,NV
297020,ADVISACARE SOLUTIONS OF NEVADA INC,NV
297022,GENTIVA HEALTH SERVICES I I I,NV
297030,SOUTHWEST MEDICAL ASSOCIATES HOME HEALTH,NV
297032,IN HOUSE HOME HEALTH INC.,NV
297034,HARMONY HOME HEALTH,NV
297035,EDEN HOME HEALTH,NV
297036,ALWAYS BETTER CARE,NV
297040,KINDRED AT HOME - HOME HEALTH - LAS VEGAS,NV
297047,BOULDER CITY HOSP HOME HEALTH,NV
297049,MAXIM HEALTHCARE SERIVCES,NV
297054,ST ROSE DOMINICAN HOSPITAL HOME HEALTH SERVICES,NV
297055,ATTENTIVE HOME HEALTH CARE,NV
297056,NURSECORE OF LAS VEGAS,NV
297058,IN HOUSE EXTENDED CARE,NV
297068,CARING NURSES INC,NV
297070,CREEKSIDE HOME HEALTH CARE,NV
297078,ALL CARE HOME HEALTH,NV
297080,MEDICAL SERVICES OF AMERICA HOME HEALTH,NV
297081,FIVE STAR HEALTHCARE LLC,NV
297082,SAGUARO HOME HEALTH CARE,NV
297085,MAXIM HEALTHCARE SERVICES INC,NV
297091,EXCELL HOME HEALTH SERVICES,NV
297092,QUALITY NURSING LLC,NV
297095,INTERIM HEALTHCARE OF NEVADA INC,NV
297096,DYNAMIC HOME HEALTH CARE LLC,NV
297097,ROYALE HEALTH SYSTEMS INC,NV
297098,VISION HEALTH CARE INC,NV
297099,LORIAN HOME SYSTEMS INC OF LAS VEGAS,NV
297100,PERSPECTIVE HOME HEALTH INC,NV
297102,ENCOMPASS HOME HEALTH OF NEVADA,NV
297103,WESTERN HOME CARE,NV
297104,AT HOME HEALTH SERVICES,NV
297105,FIRST CHOICE HOME HEALTHCARE LLC,NV
297106,OASIS HOME HEALTH INC,NV
297107,PHYSICIANS CHOICE HOME HEALTH CARE INC,NV
297108,V I P HOME HEALTH INC,NV
297109,NIGHTINGALE HOME HEALTH OF NEVADA INC,NV
297111,APPLE HOME HEALTHCARE INC,NV
297112,HORIZON HOME HEALTH CARE LLC,NV
297113,WE CARE HOME HEALTH SERVICES,NV
297115,ENCOMPASS HOME HEALTH OF NEVADA,NV
297116,ADDUS HEALTHCARE,NV
297118,RELIANCE HEALTH CARE LLC,NV
297120,OROSAY HOME HEALTH SERVICES LLC,NV
297121,OPTIMUM HEALTH CARE LLC,NV
297122,HOPE HOME HEALTH LLC,NV
297123,ALOHA HOME HEALTH LLC,NV
297124,FAMILY CARE HOME HEALTH AGENCY,NV
297125,GENESIS HOME HEALTH SERVICES,NV
297126,ADVANCED HOME HEALTH INC,NV
297127,CORINTHIANS OF NEVADA HEALTH CARE INC,NV
297128,UNIVERSAL HOMEHEALTH INC,NV
297130,MOTHER'S CARE HOME HEALTH SERVICES INC,NV
297131,CARE SOURCE HOME HEALTH LLC,NV
297132,SAINT MARY'S HOME HEALTH CARE INC,NV
297133,ALLSTATE HOME HEALTH SERVICES,NV
297134,NEVADA HOME HEALTH PROVIDERS INC,NV
297135,HEALTH & CARE PROFESSIONAL NETWORK LLC,NV
297136,ABC HOME HEALTH,NV
297137,ALL CARING HEALTH PROVIDER,NV
297138,CHISAL HOME HEALTH AGENCY,NV
297139,ALLTIME HOME HEALTH PROVIDERS,NV
297140,ATLAS HOME HEALTH CARE OF NEVADA LLC,NV
297141,EBONNY HOME HEALTH AGENCY,NV
297142,GUARDIAN ANGEL HOME CARE INC,NV
297143,CARE FIRST HOME CARE LLC,NV
297144,SONOMA HOME HEALTH,NV
297145,UNITED HOME HEALTH CARE LLC,NV
297146,APEX HOME HEALTH,NV
297148,SILVER STATE HOME HEALTH CARE INC,NV
297149,DESERT VIEW HOME HEALTH INC,NV
297150,ALPHA HOME HEALTH AGENCY INC,NV
297151,SANTA RITA HOME CARE INC,NV
297152,LIFE CARE HOME HEALTH INC,NV
297153,ALPHA STAR HOME HEALTH INC,NV
297154,SAHARA HOME HEALTH,NV
297155,ADVENT HOME HEALTH,NV
297156,SOUTHWEST HOME HEALTH,NV
297157,HEALING HEARTS HOME CARE INC,NV
297158,VISITING NURSES OF NEVADA INC,NV
297159,PATIENT CARE HOME HEALTH SERVICES,NV
297160,MESA VIEW HOME CARE LLC,NV
297161,LAS VEGAS HEALTH SYSTEMS LLC,NV
297162,SUPERIOR HOME HEALTH OF LAS VEGAS LLC,NV
297163,BE WELL HOME HEALTH CARE LLC,NV
297164,U R FIRST,NV
297165,LIFE HOME HEALTH CARE OF LAS VEGAS,NV
297166,PREMIER HOME HEALTH INC,NV
297167,PROMISE HOME HEALTH INC,NV
297168,LAS VEGAS HOME HEALTH CARE INC,NV
297169,HEARTBEAT OF NEVADA HEALTH SYSTEMS,NV
297170,QUALITY HOME HEALTH INC,NV
297171,ROYAL MAJESTY HOME HEALTH INC,NV
297172,SPRING VIEW HOME HEALTH CARE,NV
297174,FAITH  HOME HEALTH CARE LLC,NV
297175,A GENTLECARE MEDICAL SERVICES,NV
297176,MEADOWS HOME HEALTH SERVICES LLC,NV
297177,NEVADA DESERT HOME HEALTH SERVICES INC,NV
297178,FIRST CARE HOME HEALTH INC,NV
297179,A & E HOME HEALTH CARE LLC,NV
297180,VRN HOME HEALTH INC,NV
297182,G & G HOME HEALTH CARE SERVICES,NV
297183,ALLIED HOME HEALTH CARE SERVICES,NV
297185,CAREPRO HOME HEALTHCARE SERVICES,NV
297186,VALLEY VIEW HOME HEALTH CARE LLC,NV
297187,MOUNTAIN CREST HOME HEALTH,NV
297188,PRIME CHOICE HOME HEALTH LLC,NV
297189,LIFE WELLNESS HOME HEALTH AGENCY LLC,NV
297190,DAVILDA HOME HEALTH LLC,NV
297191,GOOD SHEPHERD HOME HEALTH SERVICES,NV
297192,MAXICARE HOMEHEALTH INC,NV
297193,EXCLUSIVE HOME HEALTH CARE,NV
297194,SAINT DOMINIC HOME HEALTH CARE INC,NV
297195,RECOVERY HOME HEALTH AGENCY,NV
297196,CANA HOMEHEALTH AGENCY LLC,NV
297197,HEALTHLINE OF SOUTHERN NEVADA LLC,NV
297198,ADVANCED HOME CARE,NV
297199,ACCESSIBLE HEALTHCARE LLC,NV
297200,ELITE HOME HEALTH CARE LLC,NV
297201,ALLIANCE HOME HEALTH SERVICES,NV
297202,ADVANCED CARE GROUP LLC,NV
297203,GOLDEN HOME HEALTH NEVADA LLC,NV
297204,ADVOCARE HOME HEALTH LLC,NV
297205,GENESIS HOME HEALTH SERVICES INC,NV
297206,TRIPLE C HOME HEALTH CARE,NV
297207,ELITE CARE HOME HEALTH LLC,NV
297208,COMPLETE HOME CARE LLC,NV
297209,HOME HEALTH SOLUTIONS LLC,NV
297210,ALTA CARE HOMEHEATLH INC,NV
297211,NEW HORIZON HOME CARE LLC,NV
297212,PRN HOME HEALTH CARE,NV
297213,CLINICIANS HOME HEALTH CARE SERVICES,NV
297214,FIRST ACCESS HEALTHCARE PROVIDERS INC,NV
297215,COMPASSION HOME HEALTH CARE LLC,NV
297216,PEOPLESKILLS HOME HEALTH SERVICES,NV
297217,FIDELITY HOME HEALTH SERVICES LLC,NV
297300,GENESIS HOME HEALTH SERVICES,NV
