CertificationNO,Provider Name,State
453101,BESTIN MEDICAL GROUP INC,TX
453102,CARITAS HEALTH CARE LLC,TX
453103,ANGELS OF HANDS HOME HEALTH AGENCY LLC,TX
453104,ST JOSEPHS HOME HEALTH INC,TX
453106,METRO CARE SERVICES,TX
453107,COASTAL HOME HEALTH CARE INC.,TX
453108,BEE FIRST HOME HEALTH,TX
453109,RAPHACARE SERVICES INC,TX
453110,ALTIMA HEALTHCARE SERVICES INC,TX
453111,GOOD HANDS HOME HEALTH,TX
453112,DOVE HOME CARE LLC,TX
453113,E N TENDER CARE HOME HEALTH INC,TX
453114,TLC HOMECARE,TX
453115,SUPERIOR HOME HEALTH SERVICES LLC,TX
453116,HEALTH LINK PROFESSIONALS INC,TX
453117,ALLIED HOME HEALTH AGENCY,TX
453118,MED GLOBAL HOME HEALTH CARE INC,TX
453119,CARTER HEALTHCARE,TX
453120,VEMAX HEALTHCARE SERVICES INC,TX
453121,SANTA FE HEALTH CARE INC,TX
453122,STANDARDS HOME HEALTH,TX
453123,HARRIET HOME HEALTH CARE INC,TX
453125,PROGRESSIVE HOME HEALTH AGENCY,TX
453126,MEDICAL CASE MANAGEMENT HOME HEALTH SERVICES,TX
453127,PROMED HOME HEALTH CARE LLC,TX
453128,GARLAND HOME HEALTHCARE AGENCY INC,TX
453130,COLONIAL HOME HEALTH,TX
453131,NEW ERA HOME HEALTHCARE SERVICES INC,TX
453132,STATES HEALTH INC,TX
453133,BANNER HEALTHCARE SERVICES INC,TX
453134,UNITED COMFORT HEALTHCARE INCORPORATED,TX
453135,S. A. NURSES HOME HEALTH AGENCY,TX
453136,PARA NINOS DEL VALLE PEDIATRIC HOME HEALTH PLLC,TX
453137,THHHCI TENDER HANDS HOME HEALTH CARE INC,TX
453138,GARDENDALE HOME HEALTH,TX
453139,VIDA HOME HEALTH INC,TX
453140,CLOUDVIEW HEALTHCARE,TX
453141,BLUEBONNET HEALTH SERVICES OF WACO,TX
453144,PATHFINDER HOME HEALTH,TX
453145,SIENNA HOME HEALTH CARE,TX
453146,WRIGHT CHOICE HOME HEALTH,TX
453150,CHARLIN HEALTHCARE SERVICES INC,TX
453151,RED RIVER HOMECARE LLC,TX
453152,GUARDIAN HEALTHCARE,TX
453153,THANK YOU NURSES LTD,TX
453154,ST AGNES HEALTHCARE PROFESSIONALS INC,TX
453155,SEGNIK HEALTHCARE SERVICES,TX
453156,RIO GRANDE HOME HEALTH,TX
453157,HOME CARE PROVIDERS OF TEXAS,TX
453158,ASSOCIATES HOME HEALTH AGENCY,TX
453160,RESOURCE CARE CORPORATION,TX
453162,DALLAS HORIZON HOME HEALTH AGENCY LLC,TX
453164,CARING PROFESSIONAL HOME HEALTH SERVICES INC,TX
453165,ANOINTED HOME HEALTH CARE SERVICES INC,TX
453166,JORDAN HEALTH SERVICES,TX
453170,FIDELITY CARE HOME HEALTH,TX
453171,ST PETERS HOME HEALTH INC,TX
453172,FIVE STAR QUALITY HOME HEALTH INC,TX
453173,FOUNTAINS HOME HEALTH CARE INC,TX
453174,SU CASA HEALTH CARE SERVICES,TX
453176,ESPREE HEALTH SERVICES,TX
453177,PROVISTA  HEALTHCARE,TX
453179,GILS HOME HEALTH CARE SERVICES INC,TX
453180,ANGELITOS HOME HEALTH CARE INC,TX
453181,THE POTTERS HEALTHCARE SERVICES,TX
453182,ELITE HOME HEALTH,TX
453183,ALLIANCE A PLUS HOME HEALTH CARE INC,TX
453184,PROVIDENCE CARE HEALTH SERVICES INC,TX
453185,NEW LIFE HOME HEALTH SERVICES,TX
453186,ST JUDE VISITING NURSES HOMEHEALTH INC,TX
453188,KINDRED AT HOME,TX
453189,PROSPERITY HEALTH SERVICES LLC,TX
453190,RELIANT HOME CARE SERVICES LIMITED LIABILITY COMPA,TX
453191,SALUD EN SU HOGAR,TX
453193,ELECT HOME HEALTH CARE INC,TX
453194,MAXMED HEALTHCARE INC,TX
453195,DELTACARE HOME HEALTH SERVICE LLC,TX
453196,JAKPA HEALTH CARE INC,TX
453198,CONVENIENT HOME HEALTH CARE,TX
453199,PLATINUM HEALTHCARE CORP,TX
457001,VNA,TX
457015,JORDAN HEALTH SERVICES,TX
457024,CITIZENS MEDICAL CENTER HOME HEALTH AGENCY,TX
457047,WICHITA HOME HEALTH SERVICE INC,TX
457050,GIRLING HOME HEALTH,TX
457051,BEAUMONT HOME HEALTH SERVICE INC,TX
457053,PORT ARTHUR HOME HEALTH SERVICE,TX
457083,NATIONAL NURSING & REHAB DALLAS LLC,TX
457087,JORDAN HEALTH SERVICES,TX
457089,RIO GRANDE HOME HEALTH AGENCY,TX
457094,CENTRAL TEXAS MEDICAL CENTER HOME HEALTH,TX
457095,INTEGRACARE OF NORTH TEXAS,TX
457096,KINDRED AT HOME,TX
