CertificationNO,Provider Name,State
507004,PROVIDENCE SOUND HOMECARE & HOSPICE,WA
507007,GROUP HEALTH HOME HEALTH & HOSPICE,WA
507010,TRI-CITIES HOME HEALTH,WA
507019,PROVIDENCE VNA HOME HEALTH,WA
507020,HARBORS HOME HEALTH / HOSPICE,WA
507021,KINDRED AT HOME,WA
507028,MEMORIAL HOME CARE SERVICES,WA
507029,CENTRAL WASHINGTON HEALTH SERVICES,WA
507031,GENTIVA HEALTH SERVICES,WA
507034,PROVIDENCE ST MARY HOME HEALTH,WA
507038,FRONTIER HOME HEALTH AND HOSPICE,WA
507040,COMMUNITY HOME HEALTH / HOSPICE,WA
507042,ASSURED HOME HEALTH HOSPICE & HOME CARE,WA
507043,YAKIMA REGIONAL HOME HEALTH & HOSPICE,WA
507044,ASSURED HOME HEALTH,WA
507046,MULTICARE GOOD SAMARITAN HOME HEALTH,WA
507048,ASSURED HOME HEALTH,WA
507050,JEFFERSON HEALTHCARE HOME HEALTH,WA
507052,SEA MAR COMMUNITY HEALTH CENTER,WA
507055,WHIDBEYHEALTH HOME HEALTH,WA
507060,ADVENTIST HEALTH HOME CARE SERVICES,WA
507061,KENNEWICK GENERAL HOSP HOME HEALTH,WA
507064,HOMECARE SOUTHWEST,WA
507065,PROVIDENCE HOSPICE AND HOME CARE OF SNOHOMISH CO,WA
507068,PROVIDENCE HOME SERVICES - KING COUNTY,WA
507071,GENTIVA HEALTH SERVICES,WA
507072,OLYMPIC MEDICAL HOME HEALTH,WA
507075,GENTIVA HEALTH SERVICES,WA
507076,HARRISON HOME HEALTH,WA
507079,EVERGREENHEALTH HOME CARE,WA
507081,GENTIVA HEALTH SERVICES,WA
507082,GENTIVA HEALTH SERVICES,WA
507084,BROOKDALE HOME HEALTH LLC,WA
507087,KLICKITAT VALLEY HEALTH SERVICES HH,WA
507089,ROCKWOOD HOME HEALTH,WA
507092,WESLEY HOMES AT HOME LLC,WA
507094,HIGHLINE HOME CARE SERVICES,WA
507095,PSA HEALTHCARE CERTIFIED,WA
507097,KITTITAS VALLEY HOME HEALTH & HOSPICE,WA
507099,ASSURED HOME HEALTH,WA
507100,SIGNATURE HOME HEALTH,WA
507101,PUGET SOUND HOME HEALTH,WA
507102,CAREAGE HOME HEALTH,WA
507103,PROSSER MEMORIAL HOME HEALTH,WA
507105,EDEN HOME HEALTH,WA
507106,GENTIVA HEALTH SERVICES,WA
507107,ISLAND HOSPITAL HOME HEALTH,WA
507108,ALPHA NURSING AND SERVICES INC,WA
507109,INTREPID USA HEALTHCARE SERVICES,WA
507110,SIGNATURE HOME HEATLH,WA
507111,ELITE HOME HEALTH,WA
507113,HEALTHY OPTIONS LLC,WA
507115,MOUNTAINVIEW HOME HEALTH,WA
507116,SIGNATURE HOME HEALTH,WA
507117,TOUCHMARK AT FAIRWAY VILLAGE HOME HEALTH,WA
507118,WATERFORD ON SOUTH HILL HOME HEALTH,WA
507119,SUNSHINE HOME HEALTH CARE,WA
507120,HARVARD PARTNERS LLC,WA
507121,KLINE GALLAND HOME HEALTH,WA
507122,VOTO HEALTHCARE INC,WA
507123,BROOKDALE HOME HEALTH SEATTLE,WA
507124,CHI FRANCISCAN HEALTH AT HOME,WA
507125,ENVISION HOME HEALTH,WA
