CertificationNO,Provider Name,State
557002,MAXIM HEALTHCARE SERVICES INC,CA
557005,EXTENDED HEALTH CARE INC.,CA
557006,UC DAVIS HOME CARE SERVICES,CA
557008,PIONEER HOME HEALTH CARE,CA
557012,KAISER FOUNDATION HOSPITAL HOME HEALTH - MARTINEZ,CA
557014,UNITED HOME CARE OF NORTHERN CALIFORNIA,CA
557020,INTERIM HEALTHCARE OF SAN DIEGO COUNTY,CA
557037,KAISER RIVERSIDE HOME HEALTH AGENCY (PARENT),CA
557038,DIGNITY HEALTH HOME HEALTH,CA
557041,HEALING AT HOME,CA
557052,GENTIVA HEALTH SERVICES,CA
557061,KAISER FOUNDATION HOSPITAL HOME HEALTH-SACRAMENTO,CA
557062,KAISER FOUNDATION HOSPITAL HOME HEALTH - VALLEJO,CA
557065,KAISER FOUNDATION HOSPITAL HOME HEALTH - NOVATO,CA
557066,KAISER FOUNDATION HOSPITALS HHA-SANTA CLARA,CA
557067,KAISER  FOUNDATION HOSPITAL HOME HEALTH - HAYWARD,CA
557068,KAISER FOUNDATION HOSPITAL HOME HEALTH - OAKLAND,CA
557073,SUTTER VISITING NURSE ASSOCIATION,CA
557084,CHILDREN'S HOMECARE,CA
557089,ASSISTED HOME CARE,CA
557094,ADVENTIST HEALTH HOME CARE SERVICES,CA
557104,GENTIVA HEALTH SERVICES,CA
557106,SOUTHERN CALIFORNIA HOME HEALTH AND HOSPICE,CA
557107,MEDICAL  HOME CARE PROFESSIONALS,CA
557116,AMEDISYS HOME HEALTH CARE,CA
557139,GENTIVA HEALTH SERVICES,CA
557145,AFFILIATED HOME HEALTH SERVICES INC,CA
557154,BETHANY HOME HEALTH CARE,CA
557165,BUENA VISTA PALLIATIVE CARE & HOME HEALTH INC,CA
557171,INTERIM HEALTHCARE OF CENTRAL CALIFORNIA,CA
557172,LONG BEACH HEALTH CARE,CA
557194,AMEDISYS HOME HEALTH CARE,CA
557204,ALWAYS HOME NURSING SERVICES INC,CA
557208,HOME HEALTH CARE MANAGEMENT INC,CA
557219,MISSION HOME HEALTH OF VENTURA,CA
557253,ACCENTCARE HOME HEALTH OF CALIFORNIA INC,CA
557266,GENESIS HOME HEALTH INC,CA
557270,PHYSICIANS CHOICE HH,CA
557272,ADDUS HEALTHCARE,CA
557273,ACCENTCARE HOME HEALTH OF CALIFORNIA INC,CA
557280,DYNAMIC HOME CARE,CA
557283,ADVENTIST HEALTH HOME CARE & HOSPICE SVCS,CA
557289,OPTIMAL HOME HEALTH,CA
557290,PROFESSIONAL HOME CARE ASSOCIATES,CA
557292,SUTTER AUBURN FAITH VNA & HOSPICE,CA
557406,COMCARE HOME HEALTH INC,CA
557407,VERDUGO HILLS HOME CARE INC,CA
557412,COMPANION HOME HEALTH,CA
557418,INTERIM HEALTHCARE OF SAN DIEGO COUNTY,CA
557423,VITAL HOME HEALTH CARE,CA
557425,ACCENTCARE HOME HEALTH OF CALIFORNIA INC,CA
557426,INTERIM H C,CA
557429,SILAS MED SRVS,CA
557433,ST. JOSEPH HOME CARE - GREATER SONOMA COUNTY,CA
557441,BRIDGE HOME HEALTH BAY AREA,CA
557443,INTERMED HOME CARE SERVICES,CA
557447,PROVIDENCE LITTLE COMPANY OF MARY HOME HEALTH,CA
557461,CHOICE HOME HEALTH CARE,CA
557468,TOTAL HOME HEALTH INC,CA
557473,HOME HEALTH INTEGRATED SERVICES INC,CA
557476,GREATER SOUTH BAY AREA HOME HEALTH INC,CA
557478,QUALITY HOME HEALTH CARE INC,CA
557479,PEGASUS HOME HEALTH CARE INC,CA
557482,PROGRESSIVE HOME CARE - AUBURN,CA
557490,UNIQUE HH SRVS,CA
557494,EXCEL HOME HEALTH,CA
557500,VISTA HOME HEALTH SERVICES INC,CA
557505,SUPERB HOME HEALTH AGENCY INC,CA
557509,APEX HOME HEALTH SERVICES,CA
557514,ASSISTED HEALTHCARE SERVICES,CA
557517,GOLDEN VALLEY HOME HEALTH,CA
557519,TULARE HOME CARE,CA
557523,MERCY HOME CARE,CA
557524,ALEXUS HOME HEALTHCARE INC,CA
