CertificationNO,Provider Name,State
187000,KENTUCKYONE - VNA HEALTH AT HOME,KY
187001,MARY BRECKINRIDGE ARH HOME HEALTH AGENCY,KY
187013,BAPTIST HEALTH HOME CARE,KY
187014,WHITESBURG ARH HHA,KY
187015,ARH PIKE COUNTY HOME HEALTH AGENCY,KY
187018,LIFELINE HEALTH CARE OF FAYETTE,KY
187021,MIDDLESBORO ARH HOME HEALTH AGENCY,KY
187022,INTREPID USA HEALTHCARE SERVICES,KY
187023,BREATHITT COUNTY HHA,KY
187025,HARLAN ARH HHA,KY
187026,WHITLEY COUNTY HOME HEALTH AGENCY,KY
187027,HAZARD ARH HHA,KY
187029,KNOX COUNTY HEALTH DEPARTMENT HHA,KY
187033,PINEVILLE COMMUNITY HOSPITAL HHA,KY
187037,ST CLAIRE MEDICAL CENTER HOME HEALTH,KY
187040,MCDOWELL HOME HEALTH AGENCY,KY
187041,KENTUCKYONE - VNA HEALTH AT HOME,KY
187043,MCDOWELL ARH HHA,KY
187044,THE MEDICAL CENTER HOME CARE PROGRAM,KY
187045,HAYSWOOD HOME HEALTH SERVICES,KY
187047,KING'S DAUGHTERS' MED. CTR. HHA,KY
187049,CUMBERLAND VALLEY DISTRICT HEALTH DEPT HHA,KY
187050,KENTUCKY RIVER DISTRICT HHA,KY
187052,MEMORIAL HOSPITAL HOME HEALTH CARE,KY
187053,GREEN RIVER DISTRICT HHA,KY
187054,JOHNSON-MAGOFFIN HHA,KY
187055,WEDCO DISTRICT HEALTH DEPARTMENT/HHA,KY
187058,GENTIVA HEALTH SERVICES,KY
187059,AMEDISYS HOME HEALTH SERVICES,KY
187062,T. J. SAMSON COMM HOSP HOME CARE PROGRAM,KY
187064,MORGAN COUNTY ARH HHA,KY
187065,MEPCO HOME HEALTH AGENCY,KY
187070,THREE RIVERS DISTRICT HHA,KY
187073,FRANKLIN COUNTY HOME HEALTH,KY
187074,JENNIE STUART MEDICAL CENTER HHA,KY
187075,ST ELIZABETH HOME CARE,KY
187077,HOME CARE HEALTH SERVICES INC,KY
187080,LIFELINE HEALTH CARE OF WARREN,KY
187083,CLARK COUNTY HOME HEALTH AGENCY,KY
187084,CARETENDERS,KY
187085,INTREPID USA HEALTHCARE SERVICES,KY
187087,COMMUNITY HOME HEALTH CARE,KY
187089,BAPTIST HEALTH HOME CARE MURRAY,KY
187090,KINDRED AT HOME,KY
187091,BAPTIST HEALTH HOME CARE LOUISVILLE,KY
187093,AMEDISYS HOME HEALTH CARE SERVICES,KY
187095,GENTIVA HEALTH SERVICES,KY
187096,OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL HOM,KY
187099,LIFELINE HEALTH CARE OF PULASKI,KY
187100,LOURDES HOMECARE,KY
187101,BELLEFONTE HOME HEALTH CARE AGENCY,KY
187102,CALDWELL COUNTY HOSPITAL HHA,KY
187103,CHILDREN & YOUTH PROJECT HOME HEALTH,KY
187104,BAPTIST HEALTH HOME CARE LEXINGTON,KY
187106,TWIN LAKES HOME HEALTH,KY
187109,COMMONWEALTH HOME HEALTH,KY
187110,INTREPID USA HEALTHCARE SERVICES,KY
187112,OWENSBORO HEALTH HOME CARE,KY
187113,KENTUCKYONE - VNA HEALTH AT HOME,KY
187117,INTREPID USA HEALTHCARE SERVICES,KY
187118,BAPTIST HEALTH HOME CARE BRECKINRIDGE,KY
187119,AMEDISYS HOME HEALTH,KY
187120,REGIONAL HOME CARE PURCHASE PARKWAY,KY
187124,GENTIVA HEALTH SERVICES,KY
187127,PERSONAL TOUCH HOME CARE OF KY,KY
187128,LIFELINE HEALTH CARE OF LOGAN,KY
187129,BROOKDALE HOME HEALTH LEXINGTON,KY
187130,LIFELINE HOME HEALTH,KY
187131,CHRISTIAN CARE AT HOME,KY
187136,METHODIST HOSPITAL HOMECARE,KY
187142,PERSONAL TOUCH HOME CARE OF KY,KY
187143,AMEDISYS HOME HEALTH CARE SERVICES,KY
187145,CARETENDERS,KY
187146,PROFESSIONAL HOME HEALTH CARE INC,KY
187149,CAREGIVERS HEALTH NETWORK,KY
187152,CARETENDERS,KY
187159,SUNCREST HOME HEALTH,KY
187160,THREE RIVERS HOME CARE,KY
187161,MARSHALL COUNTY HOSPITAL HHA,KY
187163,AMEDISYS HOME HEALTH,KY
187168,AMEDISYS HOME HEALTH,KY
187169,HIGHLANDS HOME HEALTH INC.,KY
187171,AMEDISYS HOME HEALTH CARE SERVICES,KY
187172,LIFELINE ROCKCASTLE HOME HEALTH,KY
187173,BAPTIST HOME HEALTH,KY
187174,DEACONESS - LIFELINE HOME HEALTH,KY
187175,PIKEVILLE MEDICAL CENTER HOME HEALTH AGENCY,KY
187176,CARDINAL HILL HOME CARE,KY
187178,CARETENDERS,KY
187179,AMEDISYS HOME HEALTH OF KENTUCKY,KY
187180,LIFELINE HOME HEALTH OF NORTHERN KENTUCKY,KY
187181,LIFELINE HOME HEALTH CARE OF FULTON,KY
187182,HOME HEALTH PLUS INC,KY
187183,GENTIVA HEALTH SERVICES,KY
187184,INTERIM HEALTHCARE OF NORTHERN KENTUCKY,KY
187185,SOMC HOME HEALTH SERVICES,KY
187187,TECH MEDICAL INC,KY
187188,RAINBOW LLC,KY
187300,LIFELINE HEALTH CARE OF LINCARE,KY
187301,MARION HOME HEALTH AGENCY,KY
187302,AMEDISYS HOME HEALTH,KY
187303,CARETENDERS OF NORTHERN KENTUCKY,KY
187304,OPTION CARE,KY
187306,AMEDISYS HOME HEALTH CARE,KY
