CertificationNO,Provider Name,State
207000,HOME HEALTH VISITING NURSES OF SOUTHERN MAINE,ME
207008,BANGOR AREA VISITING NURSES,ME
207012,CHANS HOME HEALTH CARE,ME
207019,ANDROSCOGGIN HOME CARE & HOSPICE,ME
207020,VNA HOME HEALTH & HOSPICE,ME
207021,HEALTHREACH HOMECARE & HOSPICE,ME
207025,VISITING NURSES OF AROOSTOOK,ME
207026,COMMUNITY HEALTH & COUNSELING SERVICES,ME
207033,ST JOSEPH HOMECARE,ME
207034,MILES & ST ANDREWS HOME HEALTH & HOSPICE,ME
207038,KINDRED AT HOME,ME
207045,GENTIVA HEALTH SERVICES,ME
207051,SUNRISE COUNTY HOMECARE SVCS.,ME
207054,VALLEY HOME HEALTH SERVICES,ME
207055,PROFESSIONAL HOME NURSING INC,ME
207062,MADIGAN HOME HEALTH CARE INC.,ME
207070,YORK HOSPITAL HOME CARE,ME
207071,CALAIS REGIONAL HOSPITAL HOME HEALTH,ME
207073,AMEDISYS HOME HEALTH,ME
207074,ABLE HOME HEALTH,ME
207075,AMEDISYS MAINE PLLC,ME
207076,HOME HOPE AND HEALING INC,ME
207080,SEACOAST ANGELS,ME
207081,MAXIM HEALTHCARE SERVICES,ME
