CertificationNO,Provider Name,State
397001,BERKS VISITING NURSE ASSOC INC,PA
397002,ST LUKE'S HOME HEALTH,PA
397004,VNA HOME HEALTH SERVICES,PA
397005,VNA OF GREATER PHILADELPHIA,PA
397006,SUSQUEHANNA HOME CARE & HOSPICE SERVICES,PA
397008,VNA OF POTTSTOWN AND VICINITY,PA
397009,NEIGHBORHOOD VNA,PA
397012,MAIN LINE HEALTH HOME CARE & HOSPICE - HOME HEALTH,PA
397013,AFFILIA HOME HEALTH,PA
397014,EASTON HOME HEALTH SERVICES,PA
397015,MERCY HOME HEALTH,PA
397021,COMMONWEALTH HOME HEALTH AND HOSPICE OF WILKES-BAR,PA
397023,LEHIGH VALLEY HOME CARE,PA
397026,GOOD SAMARITAN HOME HEALTH,PA
397028,COMMUNITY NURSES HOME HEALTH AND HOSPICE INC,PA
397029,COMMUNITY NURSING SERVICE OF CLINTON CO INC,PA
397031,VNA HOSPICE OF MONROE COUNTY,PA
397032,LOWER BUCKS HOSPITAL HOME HEALTH,PA
397034,VISITING NURSE ASSOCIATION OF ERIE COUNTY,PA
397047,CELTIC HEALTHCARE OF CARLISLE INC.,PA
397050,VNA HOSPICE AND HOME HEALTH OF LACKAWANNA,PA
397051,GRAND VIEW HOME CARE,PA
397053,VNA HEALTH SYSTEM,PA
397061,VNA OF HANOVER SPRING GROVE,PA
397071,COMMUNITY HOMEHEALTH CARE,PA
397083,DOYLESTOWN HOSP VN HC DEPT,PA
397087,HOME NURSING AGENCY AND VISITING NURSE ASSOCIATION,PA
397089,COMMUNITY NURSING NORTH EAST,PA
397090,EXCELA HEALTH HOME CARE & HOSPICE,PA
397091,CLEARFIELD HOSPITAL HOME HEALTH,PA
397092,HOSPITAL HOME CARE SERVICES,PA
397094,VISITING NURSES  ASSOCIATION WESTERN PENNSYLVANIA,PA
397095,SUN HOME HEALTH SERVICES INC,PA
397096,PUNXSUTAWNEY HOME HEALTH CARE,PA
397097,VISITING NURSE ASSOCIATION OF INDIANA COUNTY,PA
397101,VISITING NURSES OF VENANGO COUNTY,PA
397102,SHARON REGIONAL HEALTH SYSTEM HOME HEALTH,PA
397104,HOLY REDEEMER HOME CARE-PA,PA
397105,BLUE MOUNTAIN HOME HEALTH CARE,PA
397107,HOMEMAKER SERVICE METRO AREA,PA
397116,CLARION FOREST VNA INC,PA
397119,BARNES KASSON CNTY HOSP HHS,PA
397120,GUTHRIE HOME HEALTH,PA
397125,PENN CARE AT HOME,PA
397126,CENTRE HOMECARE INC,PA
